#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv0692	6	7	1	2	0.000000
Rv0693	10	19	3	57	0.000000
Rv0694	8	18	3	107	0.000000
Rv0695	7	12	3	149	0.000000
Rv0696	12	27	7	304	0.618120
Rv0697	5	27	12	742	0.999320
Rv0698	4	12	6	174	0.000020
Rv0699	2	3	1	2	0.000000
Rv0700	1	7	6	137	0.000300
Rv0701	0	16	16	527	1.000000
Rv0702	0	11	11	563	0.999640
Rv0703	0	5	5	242	0.992360
Rv0704	0	18	18	827	1.000000
Rv0705	0	2	2	113	-1.000000
Rv0706	0	9	9	582	0.997600
Rv0707	0	14	14	676	0.999980
Rv0708	0	10	10	383	0.999620
Rv0709	0	4	4	95	-1.000000
Rv0710	2	12	10	269	0.983660
Rv0711	34	46	2	31	0.000000
Rv0712	9	20	5	146	0.000000
Rv0713	13	20	3	30	0.000000
Rv0714	0	5	5	275	0.993020
Rv0715	0	5	5	242	0.993100
Rv0716	0	4	4	390	0.886640
Rv0717	0	3	3	125	-1.000000
Rv0718	0	10	10	345	0.999820
Rv0719	0	16	16	531	1.000000
Rv0720	0	4	4	25	-1.000000
Rv0721	1	13	10	544	0.998120
Rv0722	1	2	1	2	-1.000000
Rv0723	1	3	2	21	0.000000
Rv0724	21	31	2	124	0.000000
Rv0724A	4	5	1	2	0.000000
Rv0725c	6	10	3	196	0.000000
Rv0726c	10	16	3	104	0.000000
Rv0727c	10	13	1	2	0.000000
Rv0728c	5	9	2	128	0.000000
Rv0729	13	19	1	2	0.000000
Rv0730	2	4	2	119	0.000000
Rv0731c	8	10	1	2	0.000000
Rv0732	1	28	27	1186	1.000000
Rv0733	1	6	5	311	0.913920
Rv0734	5	10	2	37	0.000000
Rv0735	7	7	0	0	0.000000
Rv0736	1	9	8	708	0.992320
Rv0737	3	5	2	13	0.000000
Rv0738	1	1	0	0	-1.000000
Rv0739	16	18	1	2	0.000000
Rv0740	3	7	2	42	0.000000
Rv0741	3	4	1	2	0.000000
Rv0742	4	6	2	69	0.000000
Rv0743c	9	10	1	2	0.000000
Rv0744c	4	9	3	186	0.000020
Rv0745	6	7	1	2	0.000000
Rv0746	8	16	3	188	0.000000
Rv0747	12	17	2	329	0.019680
Rv0748	3	3	0	0	0.000000
Rv0749	4	4	0	0	0.000000
Rv0749A	2	2	0	0	-1.000000
Rv0750	1	2	1	2	-1.000000
Rv0751c	6	8	1	2	0.000000
Rv0752c	8	16	2	57	0.000000
Rv0753c	15	19	1	2	0.000000
Rv0754	21	31	6	251	0.003500
Rv0755A	6	7	1	2	0.000000
Rv0755c	14	55	19	512	0.999960
Rv0756c	7	7	0	0	0.000000
Rv0757	1	12	9	286	0.970400
Rv0758	9	18	3	175	0.000000
Rv0759c	0	2	2	110	-1.000000
Rv0760c	4	6	1	2	0.000000
Rv0761c	8	14	3	65	0.000000
Rv0762c	11	14	1	2	0.000000
Rv0763c	1	3	2	134	0.010660
Rv0764c	10	19	4	410	0.140800
Rv0765c	7	12	1	2	0.000000
Rv0766c	14	26	5	136	0.000000
Rv0767c	9	14	2	191	0.000020
Rv0768	15	28	4	184	0.000000
Rv0769	11	17	3	75	0.000000
Rv0770	8	10	1	2	0.000000
Rv0771	7	11	2	33	0.000000
Rv0772	0	25	25	1255	1.000000
Rv0773c	11	20	4	138	0.000000
Rv0774c	6	11	2	31	0.000000
Rv0775	9	9	0	0	0.000000
Rv0776c	13	15	2	79	0.000000
Rv0777	1	19	18	1367	1.000000
Rv0778	14	22	2	51	0.000000
Rv0779c	4	7	3	212	0.000120
Rv0780	0	26	26	840	1.000000
Rv0781	6	26	8	209	0.001740
Rv0782	13	37	8	306	0.761000
Rv0783c	10	26	6	340	0.435660
Rv0784	4	10	2	27	0.000000
Rv0785	21	36	3	76	0.000000
Rv0786c	6	12	3	33	0.000000
Rv0787	13	16	2	252	0.000760
Rv0787A	0	2	2	48	-1.000000
Rv0788	0	12	12	525	0.999820
Rv0789c	6	7	1	2	0.000000
Rv0790c	11	21	5	107	0.000000
Rv0791c	9	13	1	2	0.000000
Rv0792c	12	18	3	55	0.000000
Rv0793	6	9	2	80	0.000000
Rv0794c	10	20	4	243	0.000480
Rv0796	0	1	1	2	-1.000000
Rv0797	2	2	0	0	-1.000000
Rv0798c	5	16	6	300	0.618600
Rv0799c	3	10	3	201	0.000000
Rv0800	14	17	1	2	0.000000
Rv0801	2	2	0	0	-1.000000
Rv0802c	7	15	5	55	0.000000
Rv0803	0	35	35	2204	1.000000
Rv0804	5	7	1	2	0.000000
Rv0805	11	18	3	67	0.000000
Rv0806c	31	42	2	39	0.000000
Rv0807	1	2	1	2	-1.000000
Rv0808	2	27	25	1335	1.000000
Rv0809	1	15	14	985	1.000000
Rv0810c	1	5	4	95	0.035220
Rv0811c	0	17	17	1045	1.000000
Rv0812	1	17	16	766	1.000000
Rv0813c	13	14	1	2	0.000000
Rv0815c	3	4	1	2	0.000000
Rv0816c	3	3	0	0	0.000000
Rv0817c	0	15	15	681	1.000000
Rv0818	9	11	2	186	0.000000
Rv0819	2	14	12	825	0.999720
Rv0820	11	13	1	2	0.000000
Rv0821c	3	7	3	295	0.124160
Rv0822c	25	30	2	17	0.000000
Rv0823c	11	17	3	130	0.000000
Rv0824c	0	20	20	956	1.000000
Rv0825c	8	10	1	2	0.000000
Rv0826	19	22	1	2	0.000000
Rv0827c	5	7	1	2	0.000000
Rv0828c	10	10	0	0	0.000000
Rv0829	2	2	0	0	-1.000000
Rv0830	18	21	2	32	0.000000
Rv0831c	16	19	1	2	0.000000
Rv0832	3	4	1	2	0.000000
Rv0833	3	12	4	110	0.000000
Rv0834c	20	28	2	257	0.000240
Rv0835	12	15	2	13	0.000000
Rv0836c	9	10	1	2	0.000000
Rv0837c	19	23	1	2	0.000000
Rv0838	5	7	2	112	0.000000
Rv0839	13	15	1	2	0.000000
Rv0840c	7	9	1	2	0.000000
Rv0841	2	3	1	2	-1.000000
Rv0842	15	24	5	211	0.000120
Rv0843	13	17	1	2	0.000000
Rv0844c	9	10	1	2	0.000000
Rv0845	19	27	5	64	0.000000
Rv0846c	16	31	4	148	0.000000
Rv0847	4	6	1	2	0.000000
Rv0848	17	29	2	67	0.000000
Rv0849	18	23	1	2	0.000000
Rv0850	8	10	2	35	0.000000
Rv0851c	8	9	1	2	0.000000
Rv0852	7	15	3	59	0.000000
Rv0853c	15	26	3	31	0.000000
Rv0854	6	7	1	2	0.000000
Rv0855	9	14	2	30	0.000000
Rv0856	3	5	1	2	0.000000
Rv0857	6	9	2	12	0.000000
Rv0858c	15	21	2	180	0.000000
Rv0859	4	9	2	43	0.000000
Rv0860	5	27	7	577	0.705620
Rv0861c	16	27	5	466	0.224700
Rv0862c	13	30	5	275	0.009440
Rv0863	5	7	1	2	0.000000
Rv0864	10	11	1	2	0.000000
Rv0865	5	8	2	23	0.000000
Rv0866	4	4	0	0	0.000000
Rv0867c	8	11	2	13	0.000000
Rv0868c	5	7	1	2	0.000000
Rv0869c	11	15	1	2	0.000000
Rv0870c	5	5	0	0	0.000000
Rv0871	4	5	1	2	0.000000
Rv0872c	21	28	2	50	0.000000
Rv0873	26	35	2	227	0.000040
Rv0874c	7	10	2	30	0.000000
Rv0875c	2	12	10	362	0.999360
Rv0876c	13	26	6	176	0.000000
Rv0877	13	16	1	2	0.000000
Rv0878c	18	19	1	2	0.000000
Rv0879c	3	4	1	2	0.000000
Rv0880	0	1	1	2	-1.000000
Rv0881	11	15	1	2	0.000000
Rv0882	1	2	1	2	-1.000000
Rv0883c	0	6	6	596	0.956960
Rv0884c	1	13	12	800	0.999820
Rv0885	8	15	3	72	0.000000
Rv0886	18	26	5	567	0.258660
Rv0887c	3	4	1	2	0.000000
Rv0888	21	31	7	318	0.629780
Rv0889c	11	12	1	2	0.000000
Rv0890c	38	48	2	9	0.000000
Rv0891c	19	25	2	61	0.000000
Rv0892	15	43	5	89	0.000000
Rv0893c	5	23	11	423	0.997520
Rv0894	11	18	3	101	0.000000
Rv0895	23	29	1	2	0.000000
Rv0896	0	29	29	1262	1.000000
Rv0897c	11	20	4	367	0.108500
Rv0898c	2	2	0	0	-1.000000
Rv0899	8	20	6	444	0.685300
Rv0900	2	2	0	0	-1.000000
Rv0901	6	9	2	11	0.000000
Rv0902c	2	15	13	949	0.999880
Rv0903c	1	10	9	585	0.996680
Rv0904c	18	25	2	159	0.000000
Rv0905	6	10	2	41	0.000000
Rv0906	10	16	4	280	0.022700
Rv0907	15	40	9	373	0.927540
Rv0908	21	31	2	58	0.000000
Rv0909	2	3	1	2	0.000000
Rv0910	5	7	2	52	0.000000
Rv0911	10	16	2	68	0.000000
Rv0912	3	5	1	2	0.000000
Rv0913c	13	41	11	369	0.989840
Rv0914c	13	16	2	90	0.000000
Rv0915c	14	20	2	20	0.000000
Rv0916c	2	6	2	41	0.000000
Rv0917	24	42	3	88	0.000000
Rv0918	7	8	1	2	0.000000
Rv0919	8	10	1	2	0.000000
Rv0920c	16	22	1	2	0.000000
Rv0921	5	7	1	2	0.000000
Rv0922	15	18	1	2	0.000000
Rv0923c	14	22	4	117	0.000000
Rv0924c	16	20	2	64	0.000000
Rv0925c	12	17	1	2	0.000000
Rv0926c	14	21	2	47	0.000000
Rv0927c	5	6	1	2	0.000000
Rv0928	14	22	5	335	0.336020
Rv0929	6	17	3	80	0.000000
Rv0930	12	17	3	98	0.000000
Rv0931c	38	45	1	2	0.000000
Rv0932c	20	25	3	30	0.000000
Rv0933	7	12	4	205	0.000100
Rv0934	19	22	1	2	0.000000
Rv0935	11	12	1	2	0.000000
Rv0936	16	20	2	7	0.000000
Rv0937c	5	12	4	305	0.287240
Rv0938	10	43	14	478	0.999200
Rv0939	16	32	4	108	0.000000
Rv0940c	8	16	4	95	0.000000
Rv0941c	8	9	1	2	0.000000
Rv0942	7	8	1	2	0.000000
Rv0943c	15	17	1	2	0.000000
Rv0944	6	9	2	64	0.000000
Rv0945	3	8	3	314	0.236160
Rv0946c	1	20	19	1602	1.000000
Rv0948c	2	7	5	150	0.000200
Rv0949	3	45	38	1671	1.000000
Rv0950c	5	21	6	449	0.688240
Rv0951	0	16	16	841	1.000000
Rv0952	0	12	12	895	0.999940
Rv0953c	13	14	1	2	0.000000
Rv0954	17	29	4	52	0.000000
Rv0955	2	19	17	1133	1.000000
Rv0956	1	15	13	545	0.999920
Rv0957	0	24	24	1490	1.000000
Rv0958	11	16	3	214	0.000020
Rv0959	8	19	6	336	0.434180
Rv0960	4	7	2	79	0.000000
Rv0961	3	7	3	57	0.000000
Rv0962c	14	15	1	2	0.000000
Rv0963c	8	11	1	2	0.000000
Rv0964c	4	5	1	2	0.000000
Rv0965c	6	7	1	2	0.000000
Rv0966c	7	10	2	25	0.000000
Rv0967	1	1	0	0	-1.000000
Rv0968	5	6	1	2	0.000000
Rv0969	17	21	3	493	0.038260
Rv0970	4	12	3	77	0.000000
Rv0971c	5	7	1	2	0.000000
Rv0972c	6	18	6	168	0.000020
Rv0973c	5	25	10	701	0.988760
Rv0974c	4	20	7	344	0.761880
Rv0975c	11	20	2	10	0.000000
Rv0976c	16	20	2	71	0.000000
Rv0977	20	32	5	719	0.201820
Rv0978c	3	4	1	2	0.000000
Rv0979A	0	2	2	131	-1.000000
Rv0979c	0	1	1	2	-1.000000
Rv0980c	11	13	1	2	0.000000
Rv0981	9	11	2	111	0.000000
Rv0982	2	23	21	1324	1.000000
Rv0983	13	19	2	35	0.000000
Rv0984	2	5	3	157	0.000000
Rv0985c	9	10	1	2	0.000000
Rv0986	6	25	16	467	0.999980
Rv0987	27	94	15	321	0.999020
Rv0988	8	41	12	304	0.995440
Rv0989c	14	19	1	2	0.000000
Rv0990c	5	8	1	2	0.000000
Rv0991c	3	3	0	0	-1.000000
Rv0992c	4	6	1	2	0.000000
Rv0993	1	15	14	850	0.999960
Rv0994	8	14	2	17	0.000000
Rv0995	6	6	0	0	0.000000
Rv0996	15	18	1	2	0.000000
Rv0997	5	7	2	118	0.000000
Rv0998	8	13	3	256	0.001380
Rv0999	10	11	1	2	0.000000
Rv1000c	7	9	1	2	0.000000
Rv1001	15	21	2	90	0.000000
Rv1002c	0	24	24	1435	1.000000
Rv1003	5	9	2	63	0.000000
Rv1004c	9	13	1	2	0.000000
Rv1005c	3	25	22	1137	1.000000
Rv1006	28	42	3	42	0.000000
Rv1007c	0	31	31	1520	1.000000
Rv1008	11	13	1	2	0.000000
Rv1009	5	12	4	542	0.305120
Rv1010	3	12	5	142	0.000000
Rv1011	0	13	13	834	0.999940
Rv1012	5	6	1	2	0.000000
Rv1013	9	22	3	102	0.000000
Rv1014c	1	12	11	481	0.999500
Rv1015c	0	10	10	606	0.999020
Rv1016c	5	7	1	2	0.000000
Rv1017c	1	13	12	934	0.999880
Rv1018c	0	24	24	1260	1.000000
Rv1019	9	9	0	0	0.000000
Rv1020	31	40	3	458	0.014540
Rv1021	7	14	5	138	0.000000
Rv1022	4	15	5	79	0.000000
Rv1023	0	17	17	1281	1.000000
Rv1024	0	8	8	292	0.999500
Rv1025	0	7	7	416	0.990260
Rv1026	3	8	5	606	0.731220
Rv1027c	3	12	5	125	0.000000
Rv1028A	2	3	1	2	-1.000000
Rv1028c	14	28	3	235	0.000020
Rv1029	18	28	4	521	0.102060
Rv1030	11	15	2	130	0.000000
Rv1031	6	10	3	55	0.000000
Rv1032c	23	25	1	2	0.000000
Rv1033c	13	15	1	2	0.000000
Rv1034c	3	3	0	0	0.000000
Rv1035c	1	5	3	226	0.000260
Rv1036c	4	5	1	2	0.000000
Rv1037c	1	1	0	0	-1.000000
Rv1038c	1	1	0	0	-1.000000
Rv1039c	18	24	4	140	0.000000
Rv1040c	8	9	1	2	0.000000
Rv1041c	1	2	1	2	-1.000000
Rv1043c	12	15	1	2	0.000000
Rv1044	2	13	11	476	0.999620
Rv1045	11	12	1	2	0.000000
Rv1046c	5	5	0	0	0.000000
Rv1047	0	2	2	44	-1.000000
Rv1048c	17	24	5	41	0.000000
Rv1049	4	4	0	0	0.000000
Rv1050	10	12	1	2	0.000000
Rv1051c	3	8	4	263	0.026740
Rv1052	5	7	1	2	0.000000
Rv1053c	2	3	1	2	-1.000000
Rv1054	2	5	2	54	0.000000
Rv1055	1	3	2	13	-1.000000
Rv1056	17	23	2	93	0.000000
Rv1057	17	20	1	2	0.000000
Rv1058	15	30	5	147	0.000000
Rv1059	2	10	8	605	0.982080
Rv1060	3	5	1	2	0.000000
Rv1061	8	14	2	79	0.000000
Rv1062	6	6	0	0	0.000000
Rv1063c	9	15	4	308	0.177440
Rv1064c	4	7	1	2	0.000000
Rv1065	10	10	0	0	0.000000
Rv1066	4	5	1	2	0.000000
Rv1067c	8	13	4	347	0.123220
Rv1068c	6	12	5	431	0.422200
Rv1069c	19	21	1	2	0.000000
Rv1070c	7	8	1	2	0.000000
Rv1071c	12	13	1	2	0.000000
Rv1072	3	18	13	740	0.999860
Rv1073	16	19	1	2	0.000000
Rv1074c	9	11	1	2	0.000000
Rv1075c	16	19	2	126	0.000000
Rv1076	8	22	11	406	0.997760
Rv1077	20	28	3	72	0.000000
Rv1078	1	18	12	362	0.999640
Rv1079	9	19	4	373	0.165680
Rv1080c	1	10	9	477	0.997740
Rv1081c	0	7	7	383	0.992500
Rv1082	10	13	1	2	0.000000
Rv1083	1	4	2	29	0.000000
Rv1084	19	26	2	204	0.000000
Rv1085c	2	11	6	182	0.000100
Rv1086	1	15	9	544	0.992760
Rv1087	19	22	1	2	0.000000
Rv1087A	8	8	0	0	0.000000
Rv1088	2	6	3	70	0.000000
Rv1089	3	4	1	2	-1.000000
Rv1089A	2	2	0	0	-1.000000
Rv1090	7	7	0	0	0.000000
Rv1091	14	27	5	498	0.166040
Rv1092c	1	20	19	902	1.000000
Rv1093	0	14	14	1212	1.000000
Rv1094	1	13	12	642	0.999820
Rv1095	7	13	3	207	0.000000
Rv1096	10	20	3	85	0.000000
Rv1097c	6	17	5	86	0.000000
Rv1098c	0	13	13	1395	0.999980
Rv1099c	2	14	9	588	0.991680
Rv1100	6	10	2	127	0.000000
Rv1101c	14	18	2	218	0.000000
Rv1102c	7	9	1	2	0.000000
Rv1103c	8	8	0	0	0.000000
Rv1104	8	11	2	54	0.000000
Rv1105	7	11	1	2	0.000000
Rv1106c	13	18	2	13	0.000000
Rv1107c	3	3	0	0	0.000000
Rv1108c	8	10	1	2	0.000000
Rv1109c	5	9	3	133	0.000000
Rv1110	0	14	14	889	1.000000
Rv1111c	10	25	12	548	0.999160
Rv1112	5	11	4	267	0.011480
Rv1113	1	2	1	2	-1.000000
Rv1114	3	3	0	0	0.000000
Rv1115	9	19	5	84	0.000000
Rv1116	0	3	3	131	-1.000000
Rv1116A	2	4	2	88	-1.000000
Rv1117	3	4	1	2	0.000000
Rv1118c	10	12	1	2	0.000000
Rv1119c	1	3	2	42	-1.000000
Rv1120c	1	4	2	258	0.013300
Rv1121	10	24	7	193	0.000000
Rv1122	1	15	14	1011	1.000000
Rv1123c	5	8	3	98	0.000000
Rv1124	5	12	2	90	0.000000
Rv1125	17	23	3	148	0.000000
Rv1126c	1	11	7	235	0.029780
Rv1127c	5	19	7	649	0.873640
Rv1128c	9	29	7	214	0.000320
Rv1129c	10	27	5	159	0.000000
Rv1130	17	27	3	41	0.000000
Rv1131	6	17	3	100	0.000000
Rv1132	19	27	2	67	0.000000
Rv1133c	0	36	36	2266	1.000000
Rv1134	5	6	1	2	0.000000
Rv1135A	3	6	2	9	0.000000
Rv1135c	18	26	2	30	0.000000
Rv1136	4	4	0	0	0.000000
Rv1137c	2	2	0	0	-1.000000
Rv1138c	9	16	4	157	0.000000
Rv1139c	9	13	2	19	0.000000
Rv1140	6	11	2	66	0.000000
Rv1141c	10	14	1	2	0.000000
Rv1142c	7	8	1	2	0.000000
Rv1143	13	16	2	11	0.000000
Rv1144	11	12	1	2	0.000000
Rv1145	7	11	1	2	0.000000
Rv1146	17	23	2	46	0.000000
Rv1147	5	10	3	186	0.000000
Rv1148c	8	13	2	424	0.044340
Rv1149	1	2	1	2	-1.000000
Rv1151c	8	10	1	2	0.000000
Rv1152	4	5	1	2	0.000000
Rv1153c	14	19	3	68	0.000000
Rv1154c	13	16	2	190	0.000000
Rv1155	9	11	1	2	0.000000
Rv1156	9	12	2	13	0.000000
Rv1157c	5	9	2	73	0.000000
Rv1158c	4	10	4	137	0.000000
Rv1159	7	29	9	478	0.966200
Rv1159A	5	12	3	42	0.000000
Rv1160	5	5	0	0	0.000000
Rv1161	46	75	6	293	0.031220
Rv1162	31	35	1	2	0.000000
Rv1163	13	15	1	2	0.000000
Rv1164	14	19	1	2	0.000000
Rv1165	13	16	2	51	0.000000
Rv1166	1	24	23	1706	1.000000
Rv1167c	4	10	4	333	0.488360
Rv1168c	13	17	2	43	0.000000
Rv1169c	3	4	1	2	-1.000000
Rv1170	4	12	6	244	0.012220
Rv1171	5	7	1	2	0.000000
Rv1172c	12	16	1	2	0.000000
Rv1173	13	44	12	792	0.997760
Rv1174c	9	9	0	0	0.000000
Rv1175c	20	29	4	103	0.000000
Rv1176c	11	15	2	30	0.000000
Rv1177	0	7	7	197	0.998580
Rv1178	15	21	3	65	0.000000
Rv1179c	33	41	2	16	0.000000
Rv1180	11	26	4	216	0.000020
Rv1181	44	70	7	188	0.000000
Rv1182	24	40	2	68	0.000000
Rv1183	27	53	8	208	0.000100
Rv1184c	17	23	2	159	0.000000
Rv1185c	23	32	2	19	0.000000
Rv1186c	10	19	3	191	0.000000
Rv1187	5	24	9	449	0.960800
Rv1188	8	22	7	331	0.877780
Rv1189	5	9	2	303	0.045160
Rv1190	7	9	2	79	0.000000
Rv1191	6	9	2	151	0.000000
Rv1192	10	14	1	2	0.000000
Rv1193	9	21	5	363	0.285520
Rv1194c	12	19	3	96	0.000000
Rv1195	6	6	0	0	0.000000
Rv1196	4	5	1	2	0.000000
Rv1197	1	1	0	0	-1.000000
Rv1198	1	1	0	0	-1.000000
Rv1199c	0	2	2	44	-1.000000
Rv1200	25	30	1	2	0.000000
Rv1201c	0	11	11	744	0.999640
Rv1202	1	17	16	888	1.000000
Rv1203c	4	8	4	265	0.066200
Rv1204c	17	17	0	0	0.000000
Rv1205	11	13	1	2	0.000000
Rv1206	28	38	5	148	0.000000
Rv1207	5	10	2	8	0.000000
Rv1208	0	14	14	865	0.999980
Rv1209	4	5	1	2	0.000000
Rv1210	9	11	2	19	0.000000
Rv1211	2	5	3	113	-1.000000
Rv1212c	22	32	3	54	0.000000
Rv1213	21	31	3	47	0.000000
Rv1214c	4	5	1	2	-1.000000
Rv1215c	15	27	6	281	0.076100
Rv1216c	15	20	3	29	0.000000
Rv1217c	11	21	3	155	0.000000
Rv1218c	4	6	1	2	0.000000
Rv1219c	8	10	2	12	0.000000
Rv1220c	7	11	3	147	0.000000
Rv1221	3	17	14	505	0.999960
Rv1222	1	3	1	2	0.000000
Rv1223	3	23	20	1352	1.000000
Rv1224	1	6	5	220	0.461120
Rv1225c	6	7	1	2	0.000000
Rv1226c	10	15	3	141	0.000000
Rv1227c	5	6	1	2	0.000000
Rv1228	8	9	1	2	0.000000
Rv1229c	1	16	15	1083	1.000000
Rv1230c	15	20	2	76	0.000000
Rv1231c	5	7	2	27	0.000000
Rv1232c	8	11	2	152	0.000000
Rv1233c	13	20	2	17	0.000000
Rv1234	6	9	2	54	0.000000
Rv1235	17	30	4	194	0.000000
Rv1236	10	19	3	96	0.000000
Rv1237	5	13	4	168	0.000000
Rv1238	8	26	11	582	0.997320
Rv1239c	17	26	2	52	0.000000
Rv1240	0	5	5	813	0.909940
Rv1241	1	1	0	0	-1.000000
Rv1242	9	10	1	2	0.000000
Rv1243c	14	19	3	363	0.042700
Rv1244	6	8	1	2	0.000000
Rv1245c	11	14	2	11	0.000000
Rv1246c	6	8	1	2	0.000000
Rv1247c	4	5	1	2	0.000000
Rv1248c	0	46	46	3554	1.000000
Rv1249c	9	13	1	2	0.000000
Rv1250	24	32	2	26	0.000000
Rv1251c	36	58	3	71	0.000000
Rv1252c	7	8	1	2	0.000000
Rv1253	18	35	7	244	0.004920
Rv1254	1	27	25	911	1.000000
Rv1255c	5	9	3	49	0.000000
Rv1256c	12	16	1	2	0.000000
Rv1257c	10	16	3	307	0.042120
Rv1258c	16	22	3	152	0.000000
Rv1259	9	14	2	28	0.000000
Rv1260	12	28	8	260	0.140140
Rv1261c	7	12	2	47	0.000000
Rv1262c	4	4	0	0	0.000000
Rv1263	11	22	3	64	0.000000
Rv1264	10	14	2	157	0.000000
Rv1265	5	12	3	87	0.000000
Rv1266c	26	29	1	2	0.000000
Rv1267c	17	21	2	32	0.000000
Rv1268c	9	11	1	2	0.000000
Rv1269c	7	9	1	2	0.000000
Rv1270c	11	12	1	2	0.000000
Rv1271c	4	8	2	15	0.000000
Rv1272c	13	31	6	171	0.000000
Rv1273c	11	32	6	510	0.430440
Rv1274	1	4	3	137	0.000000
Rv1275	1	7	6	404	0.960100
Rv1276c	4	8	4	145	0.000000
Rv1277	16	20	3	52	0.000000
Rv1278	11	28	8	558	0.833040
Rv1279	20	30	5	71	0.000000
Rv1280c	18	26	2	92	0.000000
Rv1281c	15	28	2	106	0.000000
Rv1282c	11	16	2	33	0.000000
Rv1283c	13	21	5	179	0.000020
Rv1284	4	7	1	2	0.000000
Rv1285	0	16	16	985	0.999980
Rv1286	2	35	26	1414	1.000000
Rv1287	8	13	2	41	0.000000
Rv1288	27	32	4	84	0.000000
Rv1289	8	11	1	2	0.000000
Rv1290A	4	7	2	84	0.000000
Rv1290c	30	35	1	2	0.000000
Rv1291c	4	4	0	0	0.000000
Rv1292	0	34	34	1443	1.000000
Rv1293	0	27	27	1247	1.000000
Rv1294	0	24	24	1295	1.000000
Rv1295	0	20	20	1017	1.000000
Rv1296	0	16	16	839	1.000000
Rv1297	1	22	18	1578	1.000000
Rv1298	1	7	6	170	0.696880
Rv1299	0	14	14	584	0.999980
Rv1300	0	14	14	752	0.999980
Rv1301	0	11	11	592	0.999480
Rv1302	4	20	16	1036	1.000000
Rv1303	1	4	3	73	0.000040
Rv1304	1	11	10	648	0.998900
Rv1305	0	8	8	234	0.999560
Rv1306	0	4	4	330	0.952120
Rv1307	0	20	20	1300	1.000000
Rv1308	1	26	24	1362	1.000000
Rv1309	0	19	19	895	1.000000
Rv1310	0	20	20	1378	1.000000
Rv1311	0	2	2	312	-1.000000
Rv1312	1	10	5	206	0.000640
Rv1313c	1	3	2	610	0.241380
Rv1314c	11	16	2	45	0.000000
Rv1315	0	17	17	1219	1.000000
Rv1316c	6	9	3	152	0.000000
Rv1317c	11	13	1	2	0.000000
Rv1318c	17	20	1	2	0.000000
Rv1319c	25	29	1	2	0.000000
Rv1320c	25	30	2	41	0.000000
Rv1321	8	12	2	12	0.000000
Rv1322	5	6	1	2	0.000000
Rv1322A	6	7	1	2	0.000000
Rv1323	12	15	2	167	0.000000
Rv1324	1	6	5	346	0.781360
Rv1325c	6	11	5	834	0.623900
Rv1326c	1	43	42	1998	1.000000
Rv1327c	0	39	39	1981	1.000000
Rv1328	24	45	4	91	0.000000
Rv1329c	11	25	4	171	0.000000
Rv1330c	17	23	2	12	0.000000
Rv1331	4	5	1	2	0.000000
Rv1332	4	7	2	5	0.000000
Rv1333	9	13	2	134	0.000000
Rv1334	12	12	0	0	0.000000
Rv1335	5	5	0	0	0.000000
Rv1336	15	19	1	2	0.000000
Rv1337	10	13	2	33	0.000000
Rv1338	1	17	16	640	1.000000
Rv1339	1	20	19	775	1.000000
Rv1340	4	13	5	188	0.000060
Rv1341	4	6	1	2	0.000000
Rv1342c	0	5	5	134	-1.000000
Rv1343c	1	12	11	207	0.506880
Rv1344	8	10	1	2	0.000000
Rv1345	15	23	2	17	0.000000
Rv1346	8	15	3	150	0.000000
Rv1347c	0	13	13	395	0.999900
Rv1348	2	38	16	1210	1.000000
Rv1349	0	20	20	1723	1.000000
Rv1350	8	15	4	123	0.000000
Rv1351	6	10	1	2	0.000000
Rv1352	5	6	1	2	0.000000
Rv1353c	5	13	2	8	0.000000
Rv1354c	25	44	4	134	0.000000
Rv1355c	19	41	9	434	0.909060
Rv1356c	12	28	3	116	0.000000
Rv1357c	12	14	2	45	0.000000
Rv1358	45	74	6	95	0.000000
Rv1359	10	17	2	16	0.000000
Rv1360	13	14	1	2	0.000000
Rv1361c	6	10	3	685	0.196920
Rv1362c	13	15	1	2	0.000000
Rv1363c	7	8	1	2	0.000000
Rv1364c	15	33	4	74	0.000000
Rv1365c	6	6	0	0	0.000000
Rv1366	14	19	2	34	0.000000
Rv1367c	14	17	1	2	0.000000
Rv1368	7	8	1	2	0.000000
Rv1371	11	30	7	145	0.000000
Rv1372	6	18	4	146	0.000000
Rv1373	18	19	1	2	0.000000
Rv1374c	11	14	2	6	0.000000
Rv1375	18	22	1	2	0.000000
Rv1376	16	17	1	2	0.000000
Rv1377c	12	12	0	0	0.000000
Rv1378c	18	25	2	4	0.000000
Rv1379	1	7	6	270	0.625340
Rv1380	0	13	13	790	0.999980
Rv1381	0	11	11	1015	0.999660
Rv1382	0	6	6	284	0.996700
Rv1383	0	13	13	1117	0.999980
Rv1384	0	46	46	3189	1.000000
Rv1385	1	7	6	664	0.947640
Rv1386	6	6	0	0	0.000000
Rv1387	24	26	1	2	0.000000
Rv1388	2	8	3	371	0.314120
Rv1389	0	6	6	387	0.981220
Rv1390	0	8	8	327	0.998940
Rv1391	1	21	19	1202	1.000000
Rv1392	1	20	19	1141	1.000000
Rv1393c	21	28	2	56	0.000000
Rv1394c	15	19	1	2	0.000000
Rv1395	12	18	2	46	0.000000
