#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv0111	28	43	4	174	0.000000
Rv0112	7	31	8	202	0.000660
Rv0113	3	13	4	213	0.000160
Rv0114	7	10	1	2	0.000000
Rv0115	16	18	1	2	0.000000
Rv0116c	16	18	1	2	0.000000
Rv0117	9	17	4	170	0.000000
Rv0118c	10	26	9	528	0.962700
Rv0119	0	14	14	971	0.999980
Rv0120c	12	28	8	451	0.851040
Rv0121c	6	10	3	39	0.000000
Rv0122	4	9	3	13	0.000000
Rv0123	1	9	8	316	0.997380
Rv0124	8	14	2	101	0.000000
Rv0125	9	10	1	2	0.000000
Rv0126	5	31	9	575	0.957520
Rv0127	1	30	29	1232	1.000000
Rv0128	16	20	2	14	0.000000
Rv0129c	9	27	6	102	0.000000
Rv0130	4	4	0	0	0.000000
Rv0131c	15	18	1	2	0.000000
Rv0132c	11	15	1	2	0.000000
Rv0133	7	8	1	2	0.000000
Rv0134	11	12	1	2	0.000000
Rv0135c	6	11	2	46	0.000000
Rv0136	19	23	1	2	0.000000
Rv0137c	8	11	1	2	0.000000
Rv0138	7	7	0	0	0.000000
Rv0139	11	12	1	2	0.000000
Rv0140	10	16	4	77	0.000000
Rv0141c	5	8	2	106	0.000000
Rv0142	6	7	1	2	0.000000
Rv0143c	21	28	2	22	0.000000
Rv0144	11	14	1	2	0.000000
Rv0145	10	15	3	159	0.000000
Rv0146	14	17	1	2	0.000000
Rv0147	23	26	1	2	0.000000
Rv0148	16	17	1	2	0.000000
Rv0149	14	22	6	241	0.004140
Rv0150c	3	4	1	2	0.000000
Rv0151c	36	44	3	57	0.000000
Rv0152c	34	40	1	2	0.000000
Rv0153c	5	11	3	103	0.000000
Rv0154c	8	12	3	336	0.095040
Rv0155	7	11	2	12	0.000000
Rv0156	1	1	0	0	-1.000000
Rv0157	10	15	2	83	0.000000
Rv0158	14	16	1	2	0.000000
Rv0159c	42	50	2	17	0.000000
Rv0160c	33	42	2	22	0.000000
Rv0161	9	19	3	120	0.000000
Rv0162c	9	17	2	210	0.000020
Rv0163	10	11	1	2	0.000000
Rv0164	2	9	7	141	0.000040
Rv0165c	6	8	2	107	0.000000
Rv0166	20	28	3	129	0.000000
Rv0167	6	7	1	2	0.000000
Rv0168	13	15	1	2	0.000000
Rv0169	32	39	2	38	0.000000
Rv0170	14	18	2	19	0.000000
Rv0171	21	25	1	2	0.000000
Rv0172	26	33	1	2	0.000000
Rv0173	11	16	2	87	0.000000
Rv0174	23	31	2	10	0.000000
Rv0175	7	9	1	2	0.000000
Rv0176	12	15	1	2	0.000000
Rv0177	9	12	1	2	0.000000
Rv0178	9	12	1	2	0.000000
Rv0179c	18	23	2	13	0.000000
Rv0180c	16	29	5	77	0.000000
Rv0181c	12	16	1	2	0.000000
Rv0182c	18	21	2	13	0.000000
