Rv_ID,2003A_Sassetti_log2FC,2003B_Sassetti_log2FC,2005_Rengarajan_log2FC,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_log2FC,2011_Griffin_2_log2FC,2013_Zhang_1_log2FC,2013_Zhang_2_log2FC,2013_Zhang_3A_log2FC,2013_Zhang_3B_log2FC,2013_Zhang_3C_log2FC,2013_Zhang_3D_log2FC,2016_Korte_log2FC,2017_Mishra_1A_log2FC,2017_Mishra_1B_log2FC,2017_Mishra_1C_log2FC,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_log2FC,2012_Zhang_log2FC,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_log2FC,2015_Mendum_log2FC,2016_Nambi_log2FC,2017_Xu_1A_log2FC,2017_Xu_1B_log2FC,2017_Xu_1C_log2FC,2017_Xu_1D_log2FC,2017_Xu_1E_log2FC,2018_Carey_1A_log2FC,2018_Carey_1B_log2FC,2018_Carey_1C_log2FC,2018_Carey_1D_log2FC,2018_Carey_1E_log2FC,2018_Carey_1F_log2FC,2018_Carey_1G_log2FC,2018_Carey_1H_log2FC,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_log2FC,marP_log2FC,Rv0950_log2FC,Rv3916c_log2FC,Rv0307c_log2FC,Rv3717_log2FC,ponA1_log2FC,Rv1565c_log2FC,Rv3684_log2FC,Rv0954_log2FC,Rv3811_log2FC,Rv1096_log2FC,Rv2680_log2FC,Rv1432_log2FC,Rv3594_log2FC,Rv3005c_log2FC,Functional_Category
Rv0035,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6166582980720856,-0.1722058437705583,0.7426501645404191,-1.0,0.434467699447795,-0.0002342512756739334,0.008803548299289145,-0.1199118711091888,0.01296131568390532,-0.1822126040230764,0.21,0.07,-0.05,0.42,0.19,0.45,0.75,1.36,-0.42,-0.51,-0.81,0.1,0.31,0.9,1.21,-0.4,0.08,0.42,0.1,-0.06,-0.25,0.16,-0.69,-0.23,-0.52,0.33,Q
Rv0037c,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3930156155817305,0.4493711244605605,0.33925715119585403,-1.0,-1.1502759434393799,-0.3396896905806541,-0.5896894104510091,0.1920767114271647,-1.479905599456079,-0.906707941301648,0.69,0.53,-1.11,-0.41,0.1,-0.21,0.75,0.48,-0.89,-1.82,-1.2,0.2,-0.21,0.31,2.36,1.43,0.44,-1.03,0.27,-1.49,0.25,-0.15,-0.32,-0.21,-0.05,1.33,R
Rv0038,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.033169357948457,1.739995943770406,-2.30569275192802,-1.0,0.340205441284277,0.06534513241971424,-0.02879619983962747,0.9007617478612834,-0.3961725183381184,0.2071732483617086,0.06,-0.34,-0.15,-0.05,-0.39,0.23,-0.33,-0.05,2.04,1.79,2.29,-0.54,0.31,-1.19,-0.74,1.04,-0.21,1.7,-0.06,-0.14,0.78,0.07,-1.36,0.52,1.14,0.4,K
Rv0041,-3.138367899260653,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.698905364841782,1.137000099337844,-5.842519882475308,0.0,0.0,0.0,0.3219280948873623,0.0,0.0,0.0,1.57,1.56,1.57,4.48,2.73,3.52,3.0,1.56,-0.59,-1.0,-0.73,0.82,0.0,0.0,0.0,0.0,2.21,0.0,1.11,0.51,0.0,0.0,0.0,0.0,0.0,0.0,J
Rv0042c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157190670162395,1.4403128619708503,-5.22922974928192,-1.0,-1.49315311375846,-0.7504077523560663,-0.2530508446729284,-0.20850119638909198,1.6331210121725992,-0.3096844991326153,-0.17,3.69,-0.15,0.86,1.59,0.79,1.07,2.05,3.55,0.89,1.29,-1.08,-0.17,-5.8,2.02,1.79,0.71,-4.71,-0.09,-0.49,1.37,-0.77,-4.83,0.42,1.59,-5.38,K
Rv0043c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6763947591880537,1.162726096316472,-1.597643701268844,-1.0,-0.295491639599174,0.9828310671469342,0.5280901010222401,-1.37543987963575,-0.2198650924994631,0.04538769614799616,0.0,-0.55,-2.98,-0.67,-0.35,-0.48,0.35,-0.02,-1.73,0.4,-0.06,1.26,-0.06,-1.86,0.67,-0.71,1.45,-1.57,-0.4,0.21,-0.31,-0.51,-0.63,-3.59,-0.26,-4.14,K
Rv0044c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1262332637819438,-0.3779672107860323,0.2063152524050254,-1.0,-0.0938876937717107,0.08728895569144271,0.2613299165694416,-0.1959770434996895,-0.1679543949016814,0.09964606839665736,0.73,0.45,-0.11,0.26,-0.01,-0.05,0.42,0.49,0.12,0.4,-1.28,0.3,0.05,-0.62,-0.07,0.31,-0.58,-1.45,0.11,0.45,-0.38,0.1,-0.67,-1.18,0.01,-3.09,C
Rv0045c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6296162833556116,-0.2135480788228512,1.653812162644386,-1.0,-0.507643093058305,0.07018497146785294,0.03025582030767357,0.1654960231150452,0.3378382447679618,-0.08466433613522477,2.2,1.87,-0.79,1.46,0.8,1.35,1.31,1.22,-1.83,-1.83,-2.19,0.25,0.0,0.54,2.36,-0.53,-1.49,-1.86,0.03,-1.1,0.41,0.26,-2.86,-2.36,-0.06,-6.93,R
Rv0046c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.766492444300603,-3.3318244911755763,5.754887502163467,0.0,0.0,0.0,0.0,0.0,0.289506617194985,0.0,0.0,0.0,0.0,2.91,2.0,0.0,0.0,0.0,-0.59,-1.01,-0.72,0.0,0.0,0.0,0.35,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,I
Rv0047c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36149663985713104,0.3833103394902416,0.4796613483410501,-1.0,-2.74371720977894,-0.2075044492941506,-0.8344344561138883,-0.5005365034794675,2.050351043512766,-1.941934617087433,0.5,-0.83,1.17,-1.36,-0.08,-0.02,0.14,-0.47,-1.24,-4.3,-2.89,-1.71,-0.24,0.66,4.31,1.59,0.1,-6.34,0.74,-0.72,0.29,-0.41,-5.48,-2.35,-0.27,4.8,K
Rv0050,0.0,0.0,0,0,0,0.0,1.3593600445541192,-3.1545982505153187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.027058238849609,5.439840648100823,-1.6414631470155858,-1.0,-0.42003582362662606,-3.9991186059958683,-0.6459989833641254,-1.6412313086507053,-0.9391988953266472,-0.3357093585738071,1.5,0.36,0.45,0.84,0.04,0.68,-1.06,0.2,1.29,2.21,2.78,-5.02,-0.14,-2.3,-1.71,-0.78,-5.95,-3.6,0.29,-1.6,0.1,-0.07,4.02,1.63,0.15,-0.8,M
Rv0052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764769701602649,0.9722558232733332,-0.4521177057491391,-1.0,-0.8319132422920419,0.1331183265343092,-0.1902460672639416,-0.08387028029038217,0.199827590834142,-0.1909732567652895,1.3,0.78,0.08,0.76,0.32,0.47,0.75,0.9,1.01,0.52,-0.81,0.83,0.17,-0.06,-5.42,-0.58,0.3,-1.72,-0.09,-0.23,-0.35,0.42,-0.99,1.88,0.07,1.62,R
Rv0053,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262345622144753,3.5382737601706165,0.4609632810818136,-1.0,0.0,0.1910678447680412,-0.7721177420010629,-2.2830014120216404,3.0258418526953417,1.8161128455351643,1.04,1.95,2.66,1.17,0.79,2.3,1.82,1.41,-0.6,-1.01,-0.72,0.9,-0.19,0.0,0.0,5.92,2.21,0.0,0.94,-0.61,4.64,-0.24,0.0,0.0,5.64,0.0,J
Rv0054,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.295688146923555,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,-0.59,-0.99,-0.72,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,L
Rv0055,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8034758613787618,8.016808287686555,-6.2097057446731245,-1.0,-2.9227366473694505,-0.4735289873147842,0.2338142669188005,2.002443175928329,-0.7622200093371032,0.030667136246941062,-1.5,0.08,0.96,1.13,0.11,3.78,0.28,0.81,-3.23,-3.69,-3.34,-2.42,-0.43,-2.84,-3.97,-8.18,1.19,-11.91,0.88,-2.7,-0.08,-0.47,-9.4,-11.92,-0.6,-8.64,J
Rv0056,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4476938714212352,1.468650305941554,-1.5674131391278618,-1.0,-1.4332923988883897,0.4176779495712812,0.5691415752937833,2.268215899212045,-0.4099880169267467,-0.41226041460827,0.6,1.16,0.45,1.25,0.3,0.72,0.5,2.04,1.11,0.65,0.99,1.12,0.02,-1.96,-4.36,3.18,-1.56,2.47,-0.12,-0.24,2.01,-0.68,-3.18,-5.28,2.58,-4.0,J
Rv0058,-3.858141814093314,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6387289259997962,1.0,-1.697534455150531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,-0.53,-0.94,-0.66,0.39,0.0,-1.0,-1.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
Rv0058,-3.858141814093314,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6387289259997962,1.0,-1.697534455150531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,-0.53,-0.94,-0.66,0.39,0.0,-1.0,-1.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
Rv0060,-2.563611612441328,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.085738136211218,4.20540267525651,-2.844014242090077,0.0,0.44322976023122707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.21,-0.36,-0.94,-1.17,0.63,0.42,-3.05,-4.08,2.0,-0.03,-6.51,-0.04,-1.66,1.3,0.71,-8.45,-8.07,0.95,-8.15,R
Rv0062,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3309279626859703,0.7542089277949167,-0.2099715414627089,-1.0,-0.510420338983936,0.001106990653097794,0.2903220128966139,-0.1191174116331907,0.3192110154400369,-0.14439865418696202,0.34,0.33,-0.08,0.06,0.06,0.3,0.52,0.33,-0.64,-1.03,-1.07,2.97,0.2,-1.67,-0.89,-0.49,-0.03,-1.11,0.0,-0.58,-0.84,0.06,-1.69,-1.6,-0.76,-0.69,G
