,PE/PPE,cell wall and cell processes,information pathways,insertion seqs and phages,intermediary metabolism and respiration,lipid metabolism,regulatory proteins,"virulence, detoxification, adaptation"
griffin_cholesterol_vs_griffin_glycerol,0.08458417655045307,0.14013284110160626,0.034838970224438603,-0.022949321088266368,0.04137482538062486,-0.008383485599476858,-0.1527874937052095,-0.1052938923905433
griffin_glycerol_vs_mbio_H37Rv,-0.3409809798449677,0.16828473871922406,0.4182740604628432,-0.5316328616842891,0.032621612817836654,0.051055631549345254,0.053209062709895415,-0.33033660784540564
kieser_dPonA1_vs_mbio_H37Rv,-0.5124317599511535,-0.06483220519270116,0.4520873711738222,-0.33642359438567254,-0.03591611799700125,0.0756288195662252,-0.01268198738885506,-0.03918522103034488
korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,0.19914081536644895,-0.04825947499768411,0.05989903748120612,-0.06500633078272701,0.033805776304249156,0.10015524175341005,-0.2177857668730399,0.060821761526836826
marP_KO_vs_marP_WT,0.5088853242776562,-0.16836335163973518,0.12432874125953784,0.014916657103233527,0.0727170568410787,0.007057978806278831,0.020207859986476884,-0.09205416424008922
minato_minimal_plate_vs_minato_rich_plate,-0.20855760183002967,0.13196324664105918,0.05300485583892393,0.21489372354379035,-0.15725034510442007,-0.046755744673442144,0.08793187558136055,0.12240070680484434
mishra_C3H_vs_mishra_B6,-0.937857171950179,-0.16065576201204457,-0.1050248298704884,1.356078617971274,0.4366646392312436,0.3978515229202387,-0.8060129070920465,0.17140958651168475
mishra_NOS2_vs_mishra_B6,0.817251077338809,0.20621886399898154,0.13389624656699953,-1.0050893455203562,-0.5357761895537178,-0.270803847234979,0.6923834907408045,-0.700619790195107
mishra_NOS2_vs_mishra_C3H,-0.32497147253584807,-0.11900830718865736,0.061342658026038555,0.9644506795985862,0.4656355846891162,0.04450533963318661,-0.5872203115603021,0.010503440797449895
nambi_2015_ctpC_vs_nambi_2015_wt,-0.11784452282004054,-0.03792510850124519,-0.0999497065269834,-0.05814324836330658,-0.08533577995667635,-0.07998195046624115,-0.08582501344061863,0.024880464939694133
ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,1.1118490038194069,0.20908549183450417,-0.20461570866077172,0.4297583485008703,-0.04832607738843574,-0.08252953325560358,-0.3177718456293451,-0.3398792350936618
ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,-0.707719342115366,0.04519203455497587,0.023973319970438303,0.08220636608267805,0.05078349668088057,0.35078871002741385,0.19130214208193483,-0.03281977760402285
