Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD90,BXD93,BXD9,DBA
Rv0022c,whiB5,,,,,,,,,,,,,,,,,,0.0546293706293707,0.517981351981352,0.173554001554002,1.0,0.4041169648,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14452191,0.14216446,0.15913881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99678,1.0,1.0,1.0,1.0,0.95977,1.0,1.0
Rv0023,-,,,,,,,,,,,,,,,,,0.0009,0.175871215748181,0.197071354239146,0.359317338329571,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10004096,0.09260138,0.09418374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0024,-,,,,,,,,,,,,,,,,,0.6099,0.2755265596813,0.227983132789886,0.414621885015507,0.831244037612951,0.2807,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17521491,0.16384279,0.11997372,1.0,0.99933,1.0,1.0,1.0,1.0,1.0,0.85736,0.84588,1.0,0.86458,1.0,1.0,1.0,0.96533,1.0,1.0,1.0,0.97794,1.0,0.38948
Rv0025,-,,,,,,,,,,,,,,,,,,0.59262937062937,0.879526029526028,0.897594405594407,0.393104437775622,0.4232158289,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11752593,0.11958438,0.10838118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79187,1.0,1.0,1.0,1.0,1.0,0.9791
Rv0026,-,,,,,,,,,,,,,,,,,0.7001,0.531336639870459,0.813557392615808,0.618961486174409,0.0737082560312369,0.3899520408,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15458083,0.18478111,0.14957536,1.0,1.0,1.0,0.58919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57709,1.0,1.0,1.0,0.93733,1.0,0.84192
Rv0027,-,,,,,,,,,,,,,,,,,,0.43015873015873,0.0635714285714284,0.487698412698412,0.7426111233311194,0.0636185654,,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4458,1.0,1.0,1.0,1.0,1.0,0.08621169,0.10290252,0.10542202,1.0,0.99933,1.0,0.98202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28419,1.0,1.0,1.0,0.93222,0.99131,0.89852
Rv0028,-,,,,,,,,,,,,,,,,,,0.691904761904761,0.604444444444446,0.548095238095238,0.5571545451761124,0.1826277154,0.3541690377,0.4831527523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14759147,0.05457789,0.14034785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0029,-,,,,,,,,,,,,,,,,,0.7838,0.324026004246349,0.933700016768104,0.313143440853485,0.3858904555443058,0.4700266254,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13266823,0.15745681,0.03746939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75106,1.0,1.0
Rv0030,-,,,,,,,,,,,,,,,,,,0.681746031746032,0.673809523809525,0.805555555555556,0.3189633355709608,0.4169319865,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9745,1.0,0.13045995,0.1188902,0.10988352,1.0,1.0,1.0,0.94257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0031,-,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.08838996,0.08287396,0.08273267,1.0,0.49068,1.0,0.46761,1.0,1.0,1.0,0.58714,1.0,1.0,0.40978,1.0,0.97286,1.0,0.29151,0.819,0.66064,1.0,0.48661,0.39279,1.0
