Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,marP,Rv0950,Rv3916c,Rv0307c,Rv3717,ponA1,Rv1565c,Rv3684,Rv0954,Rv3811,Rv1096,Rv2680,Rv1432,Rv3594,Rv3005c
Rv1096,-,,,,,,0.006394773515822929,3.54e-06,0.002999733,0.012651451,,,,,,,,0.7189,0.542656378595577,0.768238499231848,0.42690642666467,0.002450836387783724,0.1529312639,0.5122896175,0.509836727,0.0,1.0,1.0,0.001468,0.049061,1.0,0.6196,0.3071,1.0,1.0,1.0,1.0,1.0,0.06061366,0.07051251,0.01871272,0.9928600000000001,1.0,0.47025,0.16604,0.18741,0.79904,0.37284,1.0,1.0,1.0,0.02494,0.37664,1.0,1.0,0.10485
Rv1097c,-,,,,,,,6.88e-06,0.003352413,,,,,,,,,0.2629,0.327015195725665,0.623351155648788,0.679465804969061,0.1597192744692626,0.1423213429,0.5179821841,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3703,1.0,1.0,1.0,1.0,1.0,0.12893478,0.12328196,0.14019961,1.0,1.0,0.9774700000000001,0.8489899999999999,1.0,0.99671,1.0,1.0,1.0,1.0,1.0,1.0,0.6784600000000001,1.0,0.44336
Rv1098c,fumC,0.003935331,,,,,,,,,,,,,,,,0.2628,0.564335790064108,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09877469999999999,0.10326565,0.09825814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv1099c,glpX,,1.32e-09,,,,,0.00398,8.6e-05,,,,,,,,,0.9255,0.204300710020416,0.600450072576,0.955629797260707,0.1382826926193826,0.292268187,0.5122896175,0.4426516049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5532,0.4416,1.0,1.0,0.0444,0.7947,0.07364523,0.06770433,0.11775591,0.6915399999999999,1.0,0.79719,0.41297,1.0,0.37163,0.49271,1.0,1.0,1.0,1.0,0.57738,0.58687,1.0,0.47378
Rv1100,-,,,,,,,0.000523757,0.503585754,,,,,,,,,0.9221,0.963395727512695,0.285251511434663,0.769932861010864,0.09344207978351904,0.1525232143,0.211616,0.0207133333,1.0,1.0,0.011566,1.0,1.0,0.0392,1.0,0.1018,1.0,1.0,0.175,0.539,0.442,0.1235014,0.10639728,0.1266178,0.0,1.0,0.27619,0.7528199999999999,1.0,0.96406,0.79545,1.0,1.0,1.0,1.0,0.8196100000000001,0.50312,1.0,0.46916
Rv1101c,-,,,,,,,,,,,,,,,,,0.9142,0.634755465277901,0.906856611956366,0.486358914898957,0.01782752829466063,0.3596401533,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.723,0.6201,1.0,0.1958985,0.17791252,0.18234812,0.78452,1.0,0.50326,0.00156,1.0,0.96755,0.00502,1.0,1.0,1.0,1.0,0.61239,1.0,1.0,0.40364
Rv1102c,-,,,,,,,,,,,,,,,,,,0.516685314685315,0.492643767996709,0.249026737967914,0.1635827855443646,0.4736898363,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16338798,0.14427811,0.13098761,0.97293,1.0,0.0976,0.00496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5875100000000001,0.77327,1.0,0.6148399999999999
Rv1103c,-,,,,,,,,,,,,,,,,,,0.480114996114996,0.951066045066044,0.485361305361305,0.9629663590484374,0.44912,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3392,1.0,1.0,1.0,1.0,1.0,0.1368497,0.10685217,0.12170889,1.0,1.0,1.0,0.27781,1.0,1.0,0.58526,1.0,1.0,1.0,1.0,0.45086,0.47483,1.0,0.5529
Rv1104,-,,,,,,,,,,,,,,,,,0.7924,0.888145468433573,0.223252632290662,0.633205668163824,0.3809949533538226,0.0455781421,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14866967,0.137141,0.16484177,1.0,1.0,0.70426,0.28529,1.0,1.0,0.60234,1.0,1.0,1.0,1.0,0.24505,0.97514,1.0,0.85508
Rv1105,-,,,,,,,0.000357641,0.761401351,,,,,,,,,,0.334467446220585,0.669209168544793,0.689625459235414,0.2822213742670291,0.3861996003,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14172027,0.12986112,0.15619759,1.0,1.0,0.9558700000000001,0.82821,1.0,1.0,0.26159,1.0,1.0,1.0,1.0,1.0,0.15377,1.0,0.6886800000000001
Rv1106c,-,,,,,,,,,,,,,,,,,0.984,0.152698339733019,0.199009816947508,0.141596780724415,0.01190089052485477,0.4428418839,0.5122896175,0.2319100478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16053405,0.10747315,0.17210041,0.97091,1.0,0.70426,0.38419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969,1.0,0.33492
