Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C
Rv0026,-,,,,,,,,,,,,,,,,,,-0.3195998728201538,0.1459994981873385,0.01759033526406482,,0.711316445575248,0.0489862188611563,0.024210694768074,-0.04288358732082533,-0.04251612762438639,-0.1552299442107608,-0.1321517799436806,0.0117890327440604,0.16,0.44,0.27,-0.48,-0.06,-0.15,0.01,0.0,-0.68,0.14,-0.52
Rv0027,-,,,,,,,,,,,,,,,,,,-2.591188344429968,-6.038490849273654,2.251457026543262,,5.43318290651617,-1.35740379750941,0.512034804910552,0.07808158848221523,0.2373464969539392,-0.02181911624322028,-0.01823911828504238,-0.01545483489545354,0.66,0.43,-1.84,-0.5,-0.03,-0.89,-0.1,0.37,-1.56,-1.32,-0.95
Rv0028,-,,,,,,,,,,,,,,,,,,0.7832400457846228,1.220346118362163,-1.17854202943705,,-2.04068964648466,1.92521606662354,1.2954787996017,0.125313971340733,0.1165451368736232,-0.1019229908054358,0.1872157362353866,0.1037327870946908,1.01,0.53,0.67,0.12,0.14,-0.08,0.58,0.44,0.05,-1.71,-0.24
Rv0029,-,,,,,,,,,,,,,,,,,,-0.7702359885947017,1.258658747574409,0.4013696929463412,,-0.228693908888525,-0.468326280705993,-0.380741954349747,0.1721359662400802,-0.09567009414245572,-0.1519072546178103,0.1259593982952569,-0.3400898324988234,0.73,0.72,-0.07,-0.01,0.04,0.9,0.16,0.18,-0.49,-0.54,-2.3
Rv0030,-,,,,,,,,,,,,,,,,,,0.2704965866381104,-0.2269472063367468,1.242281334401068,,1.14384031665542,0.736094955332996,-0.0257876063495289,-0.221041731180285,-0.278785664472759,-0.1667575823557481,-0.04914764932908811,0.03816099499359078,-0.5,-0.72,0.0,-0.14,-0.31,1.49,-0.84,0.6,0.73,-0.48,0.6
Rv0031,-,,,,,,,,,,,,,,,,,,4.954196310386875,4.954196310386875,-2.975310988826459,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-0.38,-0.8,-0.5
Rv0032,bioF2,,,,,,,,,,,,,,,,,,0.2518608555900813,0.3315098163421564,0.1630504050547363,,-0.235244285601932,0.469370423703809,0.279961856301672,0.03119891674626101,0.1407262945232452,-0.1956555796354359,0.03855645301511362,-0.03642895843897809,0.4,0.72,0.09,0.28,0.13,-0.1,0.34,0.81,-1.13,-0.18,-0.71
Rv0033,acpA,,,,,,,,,,,,,,,,,,1.298998319904773,0.07185898939229204,-0.3583597580336264,,-0.159171627469683,0.53675267678532,1.40392045655336,0.08971969062281387,-0.3424163794507399,0.01059064525210085,-0.2094289497943809,-0.2203595631817876,0.49,-1.42,-0.83,0.08,-0.54,-0.95,0.43,-0.27,1.28,1.04,-0.33
Rv0034,-,,,,,,,,,,,,,,,,,,0.08916791626218941,0.6648097579265604,-0.8729078651683234,,-0.123811019965234,-0.0914361764725602,0.359729669837806,-0.1960825230779913,-0.501653429404026,-0.649943688886098,-0.879265511152563,-0.2882376444322943,3.04,1.56,0.23,1.03,1.2,1.13,1.5,1.11,2.09,2.88,2.58
Rv0035,fadD34,,,,,,,,,,,,,,,,,,-0.6166582980720856,-0.1722058437705583,0.7426501645404189,,0.434467699447795,-0.0785434981466448,0.137903736014626,-0.0002342512756739334,0.008803548299289145,-0.1199118711091888,0.01296131568390532,-0.1822126040230764,0.21,0.07,-0.05,0.42,0.19,0.45,0.75,1.36,-0.42,-0.51,-0.81
