Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD9,BXD90,BXD93,DBA
Rv2057c,rpmG,,,,,,,,,,,,,,,,,,-0.6313613978376318,-0.0167751349613091,0.3849984084678224,,-0.655419711549487,-0.482897752801036,-0.926105675265506,-0.0654225094793475,0.5266412453918764,-0.2268807147184696,-0.4697174704813928,0.0761164109086104,-0.47,-0.66,0.26,-0.75,-0.85,-0.1,-0.44,-0.95,0.47,0.02,0.94,-0.17,0.19,0.16,0.26,0.17,0.19,0.27,-0.23,0.02,-0.22,0.18,0.31,0.21,-0.02,-0.06,-0.02,0.27,-0.04,0.32,0.2,0.12
Rv2058c,rpmB,,,,,,,,,,,,,,,,,,1.282351136571852,0.1368038588520881,-1.525386415163251,,-0.636685671731726,-0.606903227833636,-0.288355141117547,-0.0383725522770711,0.0742217882582817,0.0815526940028378,0.2259113184360305,-0.081078090287116,-0.92,-1.09,0.39,-0.14,-0.48,-0.53,-0.22,-0.39,-0.11,-0.18,-0.02,-0.02,0.15,0.14,0.03,0.0,0.04,-0.06,-0.06,-0.16,-0.04,0.4,0.19,0.02,0.0,-0.02,0.0,0.21,0.43,0.07,0.0,-0.14
Rv2059,-,,,,,,,,,,,,,,,,,,-0.5994061003231629,-0.5372543373703371,0.4731364340486985,,0.562516851187889,-0.667532438668577,-0.351149346076425,-0.0930780598050464,0.2267072167239384,0.1623982056633108,0.3652165137440599,-0.1278705941164653,0.05,-0.4,0.52,-0.04,-0.12,0.09,0.0,-0.17,-0.08,0.23,0.61,0.05,-0.06,0.32,-0.73,-0.04,0.03,0.42,0.06,0.24,-0.08,-0.18,-0.06,0.31,-0.16,-0.06,0.16,0.03,-0.13,-0.14,0.49,0.14
Rv2060,-,,,,,,,,,,,,,,,,,,,,,,-5.31183382496361,4.16257574218614,4.69041153398597,-0.3031018811427152,0.431850409573032,0.5140831269551793,0.3307465962372534,0.2532864292822316,-2.0,-0.03,-0.16,0.85,-0.19,0.91,0.1,0.59,1.19,1.71,1.11,0.77,1.7,1.49,0.25,0.37,-0.18,1.85,-0.13,1.2,1.1,1.56,0.52,1.67,0.63,1.28,0.81,0.47,0.3,0.21,2.23,1.62
Rv2061c,-,,,,,,,,,,,,,,,,,,-1.476448254530724,-1.219481905498477,-0.0248992488853904,,1.38199346407968,0.599917701440784,0.0552373723123285,0.0794526998006018,0.2330418392736595,-0.1758799634139721,0.0005481017127493,0.1045889012772,0.22,-1.14,-0.7,-0.32,-0.55,-0.67,-0.59,-0.52,-0.2,-0.12,0.29,0.49,0.05,0.29,-0.65,0.03,0.12,-0.66,0.37,0.58,0.05,0.07,-0.34,0.28,0.04,-0.03,0.33,0.09,-0.1,0.38,0.56,-0.28
Rv2062c,cobN,,,,,,,,,,,,,,,,,,-0.6093787194918456,-0.5613133398970013,0.0136083025425658,,-0.0662258662392278,-0.0378501309445425,0.276868984973261,0.0772320868400667,0.1651754581665122,0.2208637745190785,-0.0686916321978668,-0.1915147243109477,0.28,0.84,0.2,0.28,0.11,-0.12,0.27,-0.02,1.95,1.53,1.81,0.13,-0.02,0.1,-0.39,0.3,-0.82,0.25,-0.66,-0.08,0.08,0.07,-0.02,-0.16,0.09,-0.33,-0.12,-0.22,-0.11,-0.33,-0.23,0.33
Rv2063,-,,,,,,,,,,,,,,,,,,,,,,-0.66296020193382,,,0.3129393116601079,-0.0876526820349922,-0.4875776960604558,0.929753506130885,-0.047528370082586,2.98,-3.0,2.0,-3.4,2.03,1.27,1.44,1.85,0.5,-1.02,-0.73,-3.16,-0.88,-1.09,-3.16,1.84,-0.97,-3.16,1.58,-1.53,0.22,-3.14,-1.47,-3.14,-2.26,1.66,1.57,-0.74,-1.38,-1.85,-1.83,-1.91
Rv2064,cobG,,,,,,,,,,,,,,,,,,-1.963302591370196,-2.109926559288505,4.252227663100628,,3.50710115160026,0.392573591464833,0.337508322080062,-0.0711762697469834,0.3496420973226053,-0.4176139502355005,0.1838967499797937,0.0425583159209563,-1.27,-1.24,1.33,-0.53,-0.59,-1.44,0.45,-0.4,-0.76,-0.54,0.63,0.0,-1.12,-1.63,-2.23,-1.5,-0.16,1.3,-0.68,-1.09,-1.46,-1.53,-0.16,-0.41,-0.04,-3.12,-0.11,-1.08,-2.3,-0.13,-1.69,-1.31
Rv2065,cobH,,,,,,,,,,,,,,,,,,-0.9960553785579588,-0.7353533812660854,1.211475382064616,,1.01297018557556,0.150950601361652,0.101384409390027,-0.0230347662255953,0.2975750553173791,-0.1312445332782523,-0.1748383727867767,0.3929146883807036,0.32,0.18,1.05,0.96,0.41,0.26,1.31,0.62,0.89,0.31,1.21,0.81,0.79,0.39,-0.56,0.34,-1.03,1.1,-0.06,0.36,0.03,0.19,0.15,-0.17,-0.2,-0.04,0.03,-0.35,-0.45,0.01,0.92,0.3
Rv2066,cobI,,,,,,,,,,,,,,,,,,-0.8213422505360755,-0.8059429226037208,0.136643553718262,,0.372619678956676,-0.415033298192866,0.0298423743237782,-0.0038985927846781,0.0869527928912278,-0.1373172076591766,0.0376876126735278,0.2035488846569269,-0.09,-0.02,0.46,0.02,-0.05,0.42,0.69,-0.07,-0.49,-0.84,0.48,-0.09,0.04,-0.17,0.0,-0.14,-0.35,0.05,-0.42,-0.1,-0.09,0.32,0.14,-0.48,-0.17,-0.56,-0.44,-0.44,-0.09,-0.22,0.2,0.02
Rv2067c,-,,,,,,,,,,,,,,,,,,0.3196130625055644,-0.3233411327986356,-0.5754185621788392,,-0.917493941793869,-0.009331082224397,-0.133825427084923,0.1313888340476286,0.1675791470021343,0.0670159865296435,0.1277142517440947,-0.3517936012337675,0.06,0.43,0.48,-0.39,-0.16,-0.68,-0.28,-0.39,1.21,1.14,1.28,0.21,-0.15,-0.03,0.15,0.16,0.09,-0.06,0.16,-0.37,-0.17,-0.52,0.2,0.08,-0.12,0.15,0.17,0.03,0.15,0.13,0.23,-0.29
Rv2068c,blaC,,,,,,,,,,,,,,,,,,-0.1249580141355649,-0.2603648101538186,0.6832312199111281,,-0.379952334890465,0.728444533224609,0.265189875435847,0.0116152350128084,0.2065502141512762,0.0517714101408492,0.0018458424751712,-4.568627558729683,0.55,0.27,-0.05,-0.3,0.13,0.27,0.35,0.01,0.0,-0.19,0.05,0.02,-0.08,0.1,-0.18,0.12,-0.08,0.0,0.03,-0.13,-0.09,-0.26,-0.23,0.06,-0.01,0.19,0.07,0.04,-0.12,0.0,-0.02,-0.09
Rv2069,sigC,,,,,,,-4.535961501370537,-2.27335696577785,,,,,,,,,,6.596699451424242,0.6122294599626052,0.0114060702832229,,0.791633668986213,-6.48434332278051,-4.34209581922343,-0.0153911617704149,0.0546970966332758,0.1723828844393734,-0.0143334089730587,-0.9672670374694928,0.21,-0.23,0.24,0.48,0.17,0.39,0.45,-0.06,1.37,2.66,1.37,-0.31,-0.07,-0.86,-0.44,-0.8,-0.4,0.41,-0.25,-0.33,-0.25,-0.93,-2.19,-1.44,0.19,-0.8,-1.0,-0.77,-0.15,-0.69,0.55,-0.55
Rv2070c,cobK,,,,,,,,,,,,,,,,,,-0.9526550209881496,-0.5522247214972658,0.2338713496199583,,-1.16477770797916,-0.340888670192478,-0.593214008178627,0.0720505444036358,-0.1041745683544349,-0.1694696771396883,0.6089839238579627,-0.6776445032310081,1.67,-0.42,0.2,0.43,-0.01,-0.41,0.57,-0.28,-1.16,-1.4,-0.1,-0.43,-0.26,-0.91,0.56,-0.14,-0.64,0.63,-0.6,-0.63,0.4,-0.06,0.6,-0.18,-0.54,-0.84,-0.75,-0.14,0.64,0.3,-0.06,-1.23
Rv2071c,cobM,,,,,,,,,,,,,,,,,,0.4198882110652354,0.2336720688100971,-0.4672475743477974,,-0.339833079406436,-0.0428255192075937,0.273905130705472,-0.0742781589636327,0.0268545629768728,0.0911525376410491,0.0218407114812915,0.0206246527446513,-1.37,-0.22,-0.06,-1.06,-0.44,-0.53,0.1,0.0,0.02,0.19,1.49,-0.36,0.4,0.03,-0.14,0.03,0.01,-0.12,-0.11,0.25,0.0,0.04,-0.08,0.04,0.11,-0.03,-0.07,-0.03,-0.15,-0.27,0.11,0.21
Rv2072c,cobL,,0.0772429989324603,,,,,-3.559124684429383,1.15023239392487,,,,,,,,,,0.2410561227543763,-0.5832787501740477,-2.970788536219522,,0.622642161113408,0.920401649724673,0.0414627611111864,-0.1888951103818444,-0.1835934710734919,0.189791454738464,-0.3366122413584526,-0.3517709251406302,-0.74,-1.28,-2.09,-1.77,-0.75,0.66,-0.46,-0.78,-1.54,-1.15,-1.07,-0.05,-0.61,-0.16,-0.63,-1.61,-1.47,-0.54,-0.99,-1.2,-0.65,-0.64,-0.63,-0.36,-0.55,-0.75,-0.52,-0.61,-1.87,-0.49,-0.9,-0.84
Rv2073c,-,,,,,,,,,,,,,,,,,,-0.6069098108005542,-0.1948319888666045,0.1303372555792151,,0.208566421041347,0.210898955671231,0.0624610814029282,-0.6838954015652641,-0.5518880064275925,0.3785510940715002,-1.520539081524731,-0.6483259462833664,0.22,-0.69,0.85,-0.35,0.07,0.09,0.08,0.25,1.55,0.71,0.93,-0.29,-0.82,-0.45,-0.83,-0.6,-0.8,-0.39,-0.78,-0.64,-0.05,0.02,-0.59,-0.89,-0.55,-1.21,-0.55,-0.16,-0.33,-0.39,-1.02,-1.16
Rv2074,-,,,,,,,,,,,,,,,,,,-0.9718564895198448,-0.3458709117047426,0.6832443913408852,,1.33669921655333,2.81449542670417,2.51818807600257,-0.5678398028440887,-0.9210406878923258,-0.0977544683805166,-0.5773516791308861,-0.7416462192568855,-0.79,-0.15,-1.37,0.08,-0.35,-0.55,-0.06,-0.29,0.77,0.07,-0.87,-0.08,0.02,0.5,-0.3,0.16,0.23,-0.19,-0.9,-1.05,-0.36,-0.66,-0.64,-0.48,-0.52,-0.72,-0.67,-0.62,-0.96,0.1,-0.26,-0.25
Rv2075c,-,,,,,,,,,,,,,,,,,,-0.4612619651771461,-0.5666188823575065,0.2884835033227278,,-0.0678812838073657,-0.038428894152847,0.170988724535297,0.0214131311893968,0.049566309099054,0.5614436067493126,-0.1921780790284675,0.0832051229547068,0.22,-0.48,0.15,0.06,-0.23,0.15,-0.27,-0.2,0.91,0.4,0.6,0.28,-0.07,-0.04,-0.14,-0.02,-0.27,-0.09,-0.11,-0.23,0.01,-0.13,-0.07,-0.1,-0.32,0.09,-0.11,-0.03,-0.11,-0.02,-0.43,-0.21
