hUMAP_x	hUMAP_y	gene_names
4.827704	-0.3568107	Rv0327c
12.885027	1.5958494	Rv0328
16.217339	-2.3348062	Rv0329c
9.982116	0.91410553	Rv0330c
9.994344	2.4925141	Rv0331
11.802329	5.655188	Rv0332
10.998935	2.8826056	Rv0333
1.1061388	5.1338577	Rv0334
10.327128	2.9412649	Rv0335c
-3.754904	7.8663907	Rv0336
14.11407	19.645254	Rv0337c
2.3171985	3.4780176	Rv0338c
8.60434	2.374452	Rv0339c
11.248277	-0.53734905	Rv0340
11.740111	0.13081889	Rv0341
9.512703	2.7364852	Rv0342
11.863925	0.7599399	Rv0343
17.352934	7.0269737	Rv0344c
9.026707	-0.47115633	Rv0345
16.486055	8.889852	Rv0346c
12.745899	3.340262	Rv0347
13.203364	-2.2834005	Rv0348
8.323202	2.0230181	Rv0349
9.6275015	-6.49821	Rv0350
4.813	8.598129	Rv0351
15.468524	3.4580963	Rv0352
5.4896393	1.4713318	Rv0353
10.355428	-0.07274995	Rv0354c
14.034061	3.2547615	Rv0355c
12.86521	-2.8612466	Rv0356c
18.964815	8.050996	Rv0357c
9.785203	-5.6182	Rv0358
11.266881	-4.6784534	Rv0359
5.7864537	3.2921548	Rv0360c
11.188568	12.03034	Rv0361
20.708206	0.07586014	Rv0362
16.438438	9.604481	Rv0363c
13.7899475	5.543917	Rv0364
6.8440557	5.5721207	Rv0365c
8.094653	3.7090604	Rv0366c
11.682197	0.39589036	Rv0367c
13.144656	-2.07225	Rv0368c
10.594786	0.04455954	Rv0369c
25.069384	3.1273718	Rv0370c
13.583105	0.72026	Rv0371c
9.440247	1.0648975	Rv0372c
2.397563	3.549105	Rv0373c
14.831835	-0.7746609	Rv0374c
11.958807	2.4660158	Rv0375c
4.889181	-0.31329766	Rv0376c
5.5105324	-5.2439184	Rv0377
3.2589662	11.586499	Rv0378
5.3992915	-5.9330416	Rv0379
7.4104233	2.643633	Rv0380c
5.987047	7.837802	Rv0381c
7.663995	9.0420685	Rv0382c
8.85261	12.362626	Rv0383c
15.199577	18.152407	Rv0384c
12.255422	9.986532	Rv0385
7.4314713	5.3441334	Rv0386
