Rv_ID,sanger_level_II
Rv0042c,V - Conserved hypotheticals
Rv0046c,V - Conserved hypotheticals
Rv0047c,V - Conserved hypotheticals
Rv0052,V - UNKNOWN FUNCTION
Rv0065,V - Conserved hypotheticals
Rv0074,V - Conserved hypotheticals
Rv0091,V - Conserved hypotheticals
Rv0097,V - Conserved hypotheticals
Rv0106,V - UNKNOWN FUNCTION
Rv0115,V - Conserved hypotheticals
Rv0116c,V - Conserved hypotheticals
Rv0127,V - Conserved hypotheticals
Rv0130,V - Conserved hypotheticals
Rv0138,V - UNKNOWN FUNCTION
Rv0140,V - UNKNOWN FUNCTION
Rv0145,V - Conserved hypotheticals
Rv0146,V - Conserved hypotheticals
Rv0150c,V - UNKNOWN FUNCTION
Rv0164,V - Conserved hypotheticals
Rv0175,V - UNKNOWN FUNCTION
Rv0176,V - UNKNOWN FUNCTION
Rv0177,V - UNKNOWN FUNCTION
Rv0178,V - UNKNOWN FUNCTION
Rv0181c,V - UNKNOWN FUNCTION
Rv0184,V - UNKNOWN FUNCTION
Rv0185,V - UNKNOWN FUNCTION
Rv0190,V - UNKNOWN FUNCTION
Rv0192,V - UNKNOWN FUNCTION
Rv0197,V - Conserved hypotheticals
Rv0199,V - UNKNOWN FUNCTION
Rv0201c,V - Conserved hypotheticals
Rv0207c,V - UNKNOWN FUNCTION
Rv0208c,V - Conserved hypotheticals
Rv0216,V - Conserved hypotheticals
Rv0221,V - Conserved hypotheticals
Rv0229c,V - UNKNOWN FUNCTION
Rv0230c,V - Conserved hypotheticals
Rv0235c,V - UNKNOWN FUNCTION
Rv0239,V - Conserved hypotheticals
Rv0258c,V - UNKNOWN FUNCTION
Rv0259c,V - UNKNOWN FUNCTION
Rv0263c,V - Conserved hypotheticals
Rv0264c,V - Conserved hypotheticals
Rv0266c,V - Conserved hypotheticals
Rv0269c,V - Conserved hypotheticals
Rv0276,V - UNKNOWN FUNCTION
Rv0277c,V - Conserved hypotheticals
Rv0281,V - Conserved hypotheticals
Rv0282,V - Conserved hypotheticals
Rv0283,V - Conserved hypotheticals
Rv0284,V - Conserved hypotheticals
Rv0287,V - Conserved hypotheticals
Rv0288,V - Conserved hypotheticals
Rv0289,V - Conserved hypotheticals
Rv0293c,V - UNKNOWN FUNCTION
Rv0294,V - Conserved hypotheticals
Rv0301,V - Conserved hypotheticals
Rv0308,V - Conserved hypotheticals
Rv0310c,V - UNKNOWN FUNCTION
Rv0312,V - Conserved hypotheticals
Rv0320,V - UNKNOWN FUNCTION
Rv0323c,V - UNKNOWN FUNCTION
Rv0329c,V - UNKNOWN FUNCTION
Rv0336,V - UNKNOWN FUNCTION
Rv0338c,V - Conserved hypotheticals
Rv0339c,V - Conserved hypotheticals
Rv0341,V - Conserved hypotheticals
Rv0342,V - Conserved hypotheticals
Rv0343,V - Conserved hypotheticals
Rv0347,V - UNKNOWN FUNCTION
Rv0359,V - UNKNOWN FUNCTION
Rv0364,V - UNKNOWN FUNCTION
Rv0365c,V - Conserved hypotheticals
Rv0366c,V - UNKNOWN FUNCTION
Rv0368c,V - UNKNOWN FUNCTION
Rv0372c,V - Conserved hypotheticals
Rv0376c,V - Conserved hypotheticals
Rv0378,V - UNKNOWN FUNCTION
Rv0387c,V - UNKNOWN FUNCTION
Rv0393,V - UNKNOWN FUNCTION
Rv0397,V - UNKNOWN FUNCTION
Rv0406c,V - UNKNOWN FUNCTION
Rv0415,V - Conserved hypotheticals
Rv0416,V - Conserved hypotheticals
Rv0433,V - UNKNOWN FUNCTION
Rv0434,V - UNKNOWN FUNCTION
Rv0444c,V - Conserved hypotheticals
Rv0446c,V - UNKNOWN FUNCTION
Rv0448c,V - UNKNOWN FUNCTION
Rv0454,V - Conserved hypotheticals
Rv0459,V - UNKNOWN FUNCTION
Rv0460,V - UNKNOWN FUNCTION
Rv0463,V - UNKNOWN FUNCTION
Rv0464c,V - UNKNOWN FUNCTION
Rv0466,V - Conserved hypotheticals
Rv0480c,V - UNKNOWN FUNCTION
Rv0483,V - Conserved hypotheticals
Rv0486,V - Conserved hypotheticals
Rv0487,V - UNKNOWN FUNCTION
Rv0493c,V - UNKNOWN FUNCTION
Rv0495c,V - UNKNOWN FUNCTION
Rv0496,V - Conserved hypotheticals
Rv0498,V - Conserved hypotheticals
Rv0502,V - Conserved hypotheticals
