Rv_ID,2003A_Sassetti_q_val,2003B_Sassetti_q_val,2005_Rengarajan_q_val,2006_Joshi_GI_1_q_val,2006_Joshi_GI_2_q_val,2011_Griffin_2_q_val,2013_Zhang_1_q_val,2013_Zhang_2_q_val,2013_Zhang_3A_q_val,2013_Zhang_3B_q_val,2013_Zhang_3C_q_val,2013_Zhang_3D_q_val,2016_Korte_q_val,2017_Mishra_1A_q_val,2017_Mishra_1B_q_val,2017_Mishra_1C_q_val,2017_Mishra_1D_q_val,2018_Rittershaus_1A_q_val,2018_Rittershaus_1B_q_val,2012_Zhang_q_val,2015_Kieser_GI_1_q_val,2015_Kieser_GI_2_q_val,2015_Kieser_GI_3_q_val,2015_Mendum_q_val,2016_Nambi_q_val,2017_Xu_1A_q_val,2017_Xu_1B_q_val,2017_Xu_1C_q_val,2017_Xu_1D_q_val,2017_Xu_1E_q_val,2018_Carey_1A_q_val,2018_Carey_1B_q_val,2018_Carey_1C_q_val,2018_Carey_1D_q_val,2018_Carey_1E_q_val,2018_Carey_1F_q_val,2018_Carey_1G_q_val,2018_Carey_1H_q_val,2017B_DeJesus_1A_q_val,2017B_DeJesus_1B_q_val,2017B_DeJesus_1C_q_val,marP_q_val,Rv0950_q_val,Rv3916c_q_val,Rv0307c_q_val,Rv3717_q_val,ponA1_q_val,Rv1565c_q_val,Rv3684_q_val,Rv0954_q_val,Rv3811_q_val,Rv1096_q_val,Rv2680_q_val,Rv1432_q_val,Rv3594_q_val,Rv3005c_q_val
Rv2996c,0.00017911129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2628,0.719262018848103,0.36330214088689794,0.4842747341183879,0.977463089269596,1.0,1.0,1.0,1.0,1.0,1.0,0.6382,1.0,1.0,1.0,1.0,1.0,0.9957,1.0,0.09910994,0.10220852,0.09786284,0.79727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv2997,1.0,1.0,1.0,1.0,1.0,1.0,0.10426132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3453,0.626408307642271,0.7340274969098071,0.7019846129099501,0.2030385897804461,0.4869427862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7566,1.0,1.0,1.0,1.0,1.0,0.12956313,0.15828847,0.00944175,0.37118,1.0,0.74111,0.59933,1.0,0.96755,0.87365,1.0,1.0,1.0,1.0,1.0,0.06125,1.0,0.055689999999999996
Rv2999,0.006025476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5064,0.8434274452658179,0.9674024837952291,0.838992992186103,1.0,0.4479913396,1.0,1.0,1.0,1.0,1.0,0.5751,1.0,0.192,0.9952,1.0,1.0,1.0,1.0,0.07570855,0.08029827,0.11314753,1.0,1.0,0.24244000000000002,0.00156,1.0,0.96755,0.0879,1.0,1.0,1.0,1.0,0.82826,0.80816,1.0,0.195
Rv3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.704727272727273,0.996344988344988,0.7393846153846151,0.5512052683223898,0.4237331928,1.0,1.0,1.0,1.0,1.0,0.3484,1.0,0.1399,1.0,1.0,1.0,1.0,1.0,0.12595419,0.13573313,0.13697637,0.77999,1.0,1.0,0.74036,1.0,0.96755,0.89513,1.0,1.0,1.0,1.0,1.0,0.23081,1.0,0.59935
Rv3001c,0.004929232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0603,0.9451598879925899,0.637974141850199,0.907326859413956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8191,0.11481521,0.08434542,0.10248108,0.97453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3002c,0.00017735721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.444444444444444,1.0,0.7613226453350418,1.0,1.0,1.0,1.0,1.0,1.0,0.4738,1.0,1.0,0.9952,1.0,0.8669,1.0,1.0,0.09445845,0.08293422,0.08850591,0.10122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3003c,1.0607204e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1231,1.0,0.1992,0.4235,1.0,0.7829999999999999,0.9379,1.0,0.10683378,0.08748371,0.09630878,0.97453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142894,1.0,0.3303929639,1.0,1.0,1.0,1.0,1.0,0.8098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14198022,0.12333844,0.11594899,1.0,1.0,0.18734,0.13646,1.0,1.0,0.30512,1.0,0.90779,1.0,1.0,0.32677,1.0,1.0,0.45115
Rv3006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0073,0.478482400365868,0.163720853572979,0.349750506274317,0.00457698057166443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5967,1.0,0.11340307,0.10230921,0.09789349,0.97453,1.0,1.0,1.0,1.0,0.37167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3007c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.491984626664837,0.51796490373901,0.8014797685998509,0.005929608250780347,0.2267461173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16468265,0.16578869,0.16029208,0.521,1.0,0.75729,0.22701999999999997,1.0,1.0,0.93724,1.0,1.0,1.0,1.0,0.6509699999999999,0.75074,1.0,0.02562
