Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv2404c,1,1,1,1,1,0.35571,0,1,0,0,1,1,1,0.00322,0.37688,0.03171,0.24461,0.29067,0.39993,0.00605,0.99762,0.27036,1,0.36667,0.07299,1,0.83176,1,0.21718,1,0.73091,0.90194,1,1,1,0.68102,0.02433,0.54931,1,0.00197,0.11042,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.8272,1,1,1,1,1,1,1,1
Rv2405,1,1,1,1,1,0.65553,1,1,1,1,1,1,1,1,1,0.85532,0.92761,1,1,1,1,0.9549,1,0.92053,0.82791,1,0.66146,0.56937,1,1,0.87579,1,1,1,1,1,1,0.96939,1,0.93304,1,1,1,1,1,1,0.98411,1,1,1,1,1,1,1,1,1,1,1,1,0.86422,1,1,1,1
Rv2406c,1,1,1,1,1,0.47961,1,1,1,1,1,1,1,1,1,0.80116,1,1,1,1,1,1,1,0.08202,0.42247,1,0.79881,0.82929,1,0.79316,0.63626,0.9834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.77027,1,1,1,1
Rv2407,1,1,1,1,1,0.40743,1,1,1,1,1,1,1,0.70948,0.88658,0.48266,0.96375,1,0.93056,0.95507,1,1,1,1,0.97019,1,0.99498,1,1,1,0.76173,1,1,1,1,1,1,1,1,0.97556,1,0.513,0.56618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.49802,1,1,1,1
Rv2408,1,1,1,1,1,1,1,1,1,1,1,1,1,0.73544,1,0.99445,0.96848,1,0.943,0.9374,1,1,1,0.95156,0.54348,1,1,1,1,0.77513,0.9863,1,1,1,1,1,1,1,1,0.98707,0.4776,1,1,1,1,1,0.95122,1,1,1,1,1,1,1,1,1,1,1,1,0.30199,1,1,1,1
Rv2409c,1,1,1,1,1,0.77049,1,1,1,1,1,1,1,0.24331,1,0.94497,0.96928,1,0.40821,0.9849,1,1,1,0.01472,0.74761,1,0.10854,1,1,0.28803,1,1,1,1,1,1,0.52436,1,1,0.14177,0.08606,1,1,1,0.06727,1,0.67614,1,1,0.13063,0.07451,1,1,1,1,1,0.59721,1,1,0.0798,1,1,1,1
Rv2410c,1,1,1,1,1,0.75575,1,1,1,1,1,1,1,0.47158,1,0.29826,0.13079,0.96954,0.74153,0.65998,1,0.67511,1,0.7576,0.3504,1,0.84612,0.7427,1,0.39396,0.60162,1,1,1,1,1,0.46839,0.99276,1,0.18464,0.99511,1,1,1,0.48678,1,1,1,1,0.13398,0.52708,1,1,1,1,1,1,1,1,0.64099,1,1,1,1
Rv2411c,1,1,1,1,1,0.81476,1,1,1,1,1,1,1,0.39755,0.78289,0.04353,0.10108,1,1,1,1,0.82901,1,0.35859,1,1,0.62365,1,1,0.72501,1,1,0.11656,1,1,1,0.14154,1,1,0.00694,0.02443,1,1,1,0.97527,1,1,1,0.70771,0.02018,0.08371,1,1,1,1,1,1,1,1,0.44354,1,1,1,1
Rv2412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2413c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5712,1,1,0.58607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
