Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv2142c,0.0,0.0,0.0,0.0,0.0,0.78928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50974,0.65263,0.0,0.0,0.0,0.0,0.0,0.0,0.79406,1.0,0.0,0.77363,0.0,0.0,0.3192,0.0,0.0,0.77237,0.0,1.0,0.0,0.0,0.0,0.48606000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4554,0.11818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rv2144c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75157,0.0,0.0,0.7342,0.78067,1.0,1.0,0.10299000000000001,0.86179,0.0,0.85557,1.0,0.0,0.0,1.0,0.76151,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0518,0.66057,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74134,1.0,1.0,0.0,1.0,1.0,0.0,0.44277
Rv2145c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2146c,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9408299999999999,0.92096,0.91859,1.0,1.0,0.0,1.0,0.53005,0.0,0.37251999999999996,0.0,0.0,0.8308,0.0,0.0,0.79443,0.0,1.0,0.0,0.0,0.0,1.0,0.77437,1.0,1.0,0.2502,0.0,0.0,1.0,1.0,1.0,0.0,0.6201,0.0,1.0,0.54185,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.55575,0.0,1.0,1.0,0.8174899999999999
Rv2147c,0.0,0.0,0.0,0.0,0.0,0.49555,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.59595,0.84983,0.0,0.0,0.0,0.0,0.89112,0.0,0.0,1.0,0.0,0.0,0.0,0.72116,0.64247,0.0,0.0,0.5870000000000001,0.8576299999999999,0.88708,0.0,0.0,0.0,0.69853,1.0,0.0,0.41906000000000004,0.9381299999999999,0.0,1.0,0.0,0.8744700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48231999999999997,1.0,0.0,0.8244600000000001,1.0
Rv2148c,0.0,0.0,0.0,1.0,0.0,0.47323999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45942,0.5226,0.0,0.0,0.0,0.24015999999999998,0.27971999999999997,0.0,0.46684,0.0,0.0,0.0,0.0,0.0,0.56462,0.0,0.84403,0.30485,0.0,0.0,0.0,0.0,1.0,0.16914,0.8866700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72628,0.0,0.0,0.0,0.23312
Rv2149c,0.0,0.0,0.0,0.0,0.0,0.42596999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.74325,0.0,0.0,0.0,0.0,0.0,0.0,0.06204,1.0,0.59419,0.20915,0.0,0.4554,0.57067,0.0,0.68288,1.0,0.0,1.0,0.0,0.0,0.0,0.51272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52785,0.0,0.24179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98157
Rv2150c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2151c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.81945,1.0,0.5331100000000001,0.74365,0.0,1.0,0.9849,1.0,0.6466,0.0,0.45771000000000006,0.0,0.0,0.85557,0.0,0.0,0.84403,0.0,0.0,0.0,0.0,0.0,0.0,0.63502,1.0,1.0,0.9397399999999999,1.0,0.0,0.0,0.0,1.0,0.0,0.33845,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.91614,0.0,1.0,1.0,0.8174899999999999
