Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0075,Rv2953,Rv1653,Rv2950c,Rv3045,Rv2332,Rv0956,Rv0564c,Rv2228c,Rv3449,Rv1270c
Rv0076c,Rv2819c,Rv1596,Rv0065,Rv0694,Rv1495,Rv2817c,Rv2818c,Rv1737c,Rv3855,Rv2848c
Rv0077c,Rv1206,Rv2266,Rv2793c,Rv2584c,Rv3903c,Rv3765c,Rv1026,Rv2673,Rv1033c,Rv0073
Rv0078,Rv2922c,Rv3318,Rv2112c,Rv0438c,Rv2579,Rv1909c,Rv1160,Rv1675c,Rv0230c,NONE
Rv0078A,Rv1267c,Rv3086,Rv1731,Rv3480c,Rv1563c,Rv3704c,Rv3506,Rv3734c,Rv0754,Rv1777
Rv0078B,Rv0938,Rv1994c,Rv3083,Rv1020,Rv1162,Rv1155,Rv3879c,Rv1013,Rv2063A,Rv1850
Rv0079,Rv0153c,Rv1202,Rv2150c,Rv1131,Rv2453c,Rv1699,Rv1330c,Rv3389c,Rv0503c,Rv3791
Rv0080,Rv1857,Rv2103c,Rv0734,Rv1253,Rv2010,Rv3405c,Rv2602,Rv2234,Rv1207,Rv2002
Rv0081,Rv2801c,Rv3149,Rv1537,Rv0496,Rv2919c,Rv1259,Rv2466c,Rv3240c,Rv0982,Rv1884c
Rv0082,Rv0668,Rv2928,Rv0486,Rv0475,Rv2625c,Rv0045c,Rv2118c,Rv3724B,Rv3842c,Rv0827c
Rv0083,Rv2289,Rv2376c,Rv2436,Rv2006,Rv0577,Rv2688c,Rv0889c,Rv2429,Rv0262c,Rv0114
Rv0084,Rv1601,Rv0458,Rv0468,Rv2631,Rv3619c,Rv1650,Rv2136c,Rv2878c,Rv3566c,Rv0032
Rv0085,Rv0866,Rv1009,Rv0385,Rv0091,Rv3234c,Rv0937c,Rv2346c,Rv1033c,Rv1198,Rv3371
Rv0086,Rv2596,Rv3589,Rv1121,Rv3272,Rv2530c,Rv0827c,Rv3724B,Rv0418,Rv2702,Rv2252
