Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv1951c,Rv1253,Rv1739c,Rv2103c,Rv3082c,Rv3841,Rv2010,Rv0254c,Rv1857,Rv2002,Rv2602
Rv1952,Rv0321,Rv1849,Rv2427c,Rv1712,Rv3505,Rv3087,Rv3214,Rv3809c,Rv0732,Rv0864
Rv1953,Rv3588c,Rv1956,Rv2445c,Rv0462,Rv2110c,Rv2392,Rv3764c,Rv0489,Rv1248c,Rv1340
Rv1954A,Rv0414c,Rv1364c,Rv1560,Rv2032,Rv3547,Rv2713,Rv3043c,Rv0116c,Rv0583c,Rv3628
Rv1954c,Rv3588c,Rv1956,Rv2445c,Rv0462,Rv2110c,Rv2392,Rv3764c,Rv1248c,Rv0489,Rv1340
Rv1955,Rv3842c,Rv1212c,Rv0475,Rv3404c,Rv0823c,Rv0888,Rv0668,Rv2027c,Rv1302,Rv2118c
Rv1956,Rv3588c,Rv2445c,Rv0462,Rv2110c,Rv2392,Rv3764c,Rv1248c,Rv0489,Rv1340,Rv2391
Rv1957,Rv0465c,Rv2613c,Rv1539,Rv1538c,Rv2359,Rv3131,Rv3810,Rv1822,Rv3574,Rv0018c
Rv1958c,Rv3854c,Rv2208,Rv0609,Rv0553,Rv2868c,Rv2066,Rv1665,Rv2345,Rv2459,Rv2948c
Rv1959c,Rv0286,Rv0977,Rv3366,Rv2294,Rv2299c,Rv3106,Rv0006,Rv2918c,Rv3743c,Rv3862c
Rv1960c,Rv1027c,Rv3913,Rv3378c,Rv1558,Rv3793,Rv3561,Rv0512,Rv1400c,Rv1103c,Rv0505c
Rv1961,Rv0620,Rv1368,Rv3452,Rv3309c,Rv0677c,Rv3600c,Rv0847,Rv0277c,Rv1872c,Rv0908
Rv1962A,Rv2801A,Rv2482c,Rv1077,Rv0032,Rv0853c,Rv1288,Rv3379c,Rv1329c,Rv1650,Rv3731
Rv1962c,Rv1335,Rv1336,Rv0379,Rv2743c,Rv0642c,Rv2786c,Rv0014c,Rv3441c,Rv1449c,Rv1345
Rv1963c,Rv3534c,Rv3910,Rv2034,Rv3545c,Rv0712,Rv3570c,Rv3875,Rv3535c,Rv0256c,Rv1314c
Rv1964,Rv0014c,Rv1962c,Rv1336,Rv1449c,Rv1345,Rv0642c,Rv1335,Rv2786c,Rv3441c,Rv1602
Rv1965,Rv1346,Rv2149c,Rv2601,Rv0631c,Rv3310,Rv0595c,Rv3919c,Rv1991c,Rv2285,Rv1736c
Rv1966,Rv1625c,Rv1161,Rv3451,Rv3111,Rv1634,Rv2275,Rv3701c,Rv0573c,Rv0006,Rv3370c
Rv1967,Rv0417,Rv1484,Rv2121c,Rv1306,Rv2742c,Rv0444c,Rv2440c,Rv3012c,Rv1311,Rv1392
Rv1968,Rv3504,Rv3674c,Rv3339c,Rv0985c,Rv2902c,Rv2285,Rv1991c,Rv3287c,Rv0631c,Rv0595c
Rv1969,Rv3364c,Rv0858c,Rv1102c,Rv3383c,Rv0408,Rv2002,Rv2602,Rv0254c,Rv0409,Rv1108c
Rv1970,Rv2952,Rv2821c,Rv1129c,Rv3088,Rv0570,Rv1180,Rv1425,Rv1029,Rv1219c,Rv0295c
Rv1971,Rv0386,Rv0301,Rv1143,Rv2763c,Rv2820c,Rv1399c,Rv2918c,Rv3106,Rv0901,Rv3585
Rv1972,Rv3506,Rv3734c,Rv1731,Rv1777,Rv3086,Rv1173,Rv3089,Rv3704c,Rv1267c,Rv1996
Rv1973,Rv2601,Rv1346,Rv2985,Rv3310,Rv1736c,Rv1247c,Rv0595c,Rv2149c,Rv3919c,Rv0631c
Rv1974,Rv3619c,Rv2878c,Rv2176,Rv3409c,Rv2631,Rv0624,Rv2243,Rv2970c,Rv1601,Rv3820c
Rv1975,Rv1222,Rv1328,Rv1468c,Rv3297,Rv1205,Rv2218,Rv3419c,Rv0342,Rv1239c,Rv1365c
Rv1976c,Rv3082c,Rv0586,Rv3841,Rv0254c,Rv1739c,Rv0858c,Rv2002,Rv3364c,NONE,NONE
Rv1977,Rv3619c,Rv2631,Rv3409c,Rv2878c,Rv1601,Rv2176,Rv0458,Rv2243,Rv2136c,Rv3065
Rv1978,Rv3515c,Rv3792,Rv1915,Rv1843c,Rv2402,Rv0351,Rv1760,Rv2029c,Rv0015c,Rv1010
Rv1979c,Rv3106,Rv2918c,Rv0977,Rv1399c,Rv0386,Rv3862c,Rv0301,Rv2820c,Rv1189,Rv0054
Rv1980c,Rv3408,Rv0764c,Rv0221,Rv1876,Rv2296,Rv3377c,Rv1983,Rv0845,Rv3825c,NONE
Rv1981c,Rv1103c,Rv1242,Rv2196,Rv0512,Rv2748c,Rv3886c,Rv1372,Rv1558,Rv3660c,Rv0956
Rv1982A,Rv1155,Rv2063A,Rv1994c,Rv1162,Rv1850,Rv0938,Rv0132c,Rv1020,Rv3083,Rv1013
Rv1982c,Rv0458,Rv2136c,Rv0468,Rv3566c,Rv0194,Rv1601,Rv3487c,Rv1650,Rv2431c,Rv3065
Rv1983,Rv2296,Rv3825c,Rv1876,Rv1980c,Rv0221,Rv3408,Rv2501c,Rv1028c,Rv0643c,Rv0764c
Rv1984A,Rv0414c,Rv1364c,Rv3547,Rv1560,Rv0116c,Rv2713,Rv3043c,Rv0583c,Rv2032,Rv2573
Rv1984c,Rv2737c,Rv3451,Rv2275,Rv1634,Rv2873,Rv3111,Rv3339c,Rv1542c,Rv3287c,Rv2074
Rv1985c,Rv1246c,Rv3743c,Rv3740c,Rv3701c,Rv1256c,Rv3080c,Rv2245,Rv0629c,Rv3862c,Rv2238c
Rv1986,Rv3853,Rv2031c,Rv0533c,Rv1258c,Rv2848c,Rv3878,Rv1497,Rv0297,Rv3157,Rv3153
Rv1987,Rv1155,Rv0132c,Rv1850,Rv2063A,Rv0583c,Rv3547,Rv3083,Rv1994c,Rv0938,Rv1162
Rv1988,Rv3619c,Rv3409c,Rv2631,Rv2878c,Rv2176,Rv1601,Rv0624,Rv2243,Rv2970c,Rv0458
Rv1989c,Rv1511,Rv2155c,Rv2095c,Rv1294,Rv1430,Rv2440c,Rv2465c,Rv3609c,Rv3598c,Rv1997
Rv1990A,Rv0626,Rv0211,Rv0596c,Rv3358,Rv2865,Rv3835,Rv3240c,Rv0982,Rv1259,Rv0900
Rv1990c,Rv1326c,Rv0236c,Rv1017c,Rv2448c,Rv1827,Rv2572c,Rv1381,Rv2244,Rv1656,Rv1603
Rv1991A,Rv3490,Rv2883c,Rv0524,Rv0489,Rv2611c,Rv2364c,Rv2764c,Rv2592c,Rv2697c,Rv2124c
Rv1991c,Rv0595c,Rv0631c,Rv3310,Rv1346,Rv3674c,Rv2285,Rv2601,Rv1247c,Rv1736c,Rv3287c
Rv1992c,Rv1079,Rv2783c,Rv3330,Rv2068c,Rv2459,Rv2593c,Rv2211c,Rv0483,Rv2948c,Rv0609
Rv1993c,Rv0237,Rv0670,Rv2780,Rv3045,Rv1653,Rv0548c,Rv1931c,Rv2953,Rv1400c,Rv3449
Rv1994c,Rv1020,Rv1162,Rv1013,Rv0938,Rv3879c,Rv3083,Rv1155,Rv2063A,Rv1850,Rv0132c
Rv1995,Rv3469c,Rv1760,Rv0015c,Rv2029c,Rv0159c,Rv1843c,Rv3824c,Rv0351,Rv0598c,Rv0447c
Rv1996,Rv0754,Rv3704c,Rv3702c,Rv2964,Rv1731,Rv3855,Rv1448c,Rv1495,Rv1563c,Rv0065
Rv1997,Rv1392,Rv1311,Rv2824c,Rv2121c,Rv1484,Rv0417,Rv2440c,Rv2158c,Rv0669c,Rv2742c
Rv1998c,Rv1739c,Rv0254c,Rv3841,Rv2002,Rv3082c,Rv2602,Rv1253,Rv2103c,Rv0858c,Rv0734
Rv1999c,Rv1985c,Rv1246c,Rv3743c,Rv3740c,Rv3701c,Rv1256c,Rv2245,Rv0629c,Rv3080c,Rv3010c
Rv2000,Rv3111,Rv1634,Rv3451,Rv1625c,Rv1161,Rv2275,Rv0573c,Rv3370c,Rv2873,Rv1984c
Rv2001,Rv0475,Rv3842c,Rv0668,Rv1955,Rv1212c,Rv2118c,Rv1302,Rv0823c,Rv0045c,Rv2928
Rv2002,Rv0254c,Rv2602,Rv1739c,Rv0858c,Rv3841,Rv3082c,Rv1253,Rv0734,Rv2103c,Rv0409
Rv2003c,Rv3082c,Rv3841,Rv1739c,Rv0586,Rv0254c,Rv2002,Rv0858c,Rv2602,Rv1253,NONE
Rv2004c,Rv1537,Rv3149,Rv0496,Rv2801c,Rv2919c,Rv2623,Rv1259,Rv0982,Rv3240c,Rv2865
Rv2005c,Rv1266c,Rv3660c,Rv2748c,Rv1410c,Rv2880c,Rv2032,Rv2301,Rv3628,Rv2861c,Rv0869c
Rv2006,Rv0889c,Rv0114,Rv2429,Rv2289,Rv0182c,Rv1180,Rv3133c,Rv2688c,Rv0187,NONE
Rv2007c,Rv2757c,Rv2043c,Rv1541c,Rv3414c,Rv0282,Rv0601c,Rv3444c,Rv3130c,Rv1755c,Rv1218c
Rv2008c,Rv2741,Rv0022c,Rv1665,Rv3809c,Rv3653,Rv2066,Rv2868c,Rv3085,Rv2200c,Rv0761c
Rv2009,Rv3080c,Rv3607c,Rv1384,Rv2238c,Rv0629c,Rv2404c,Rv3740c,Rv3059,Rv2607,Rv1256c
Rv2010,Rv3405c,Rv1857,Rv2103c,Rv2234,Rv1253,Rv3416,Rv0734,Rv1207,Rv2740,Rv3763
Rv2011c,Rv2959c,Rv1223,Rv3203,Rv1076,Rv0751c,Rv3470c,Rv2872,Rv1185c,Rv2744c,Rv2430c
Rv2012,Rv2579,Rv1675c,Rv0230c,Rv1160,Rv2548,Rv2112c,Rv1911c,Rv2727c,Rv0438c,NONE
Rv2013,Rv2949c,Rv2252,Rv1121,Rv0827c,Rv3724B,Rv1629,Rv1316c,Rv0282,Rv1604,Rv3414c
Rv2014,Rv0153c,Rv3389c,Rv0503c,Rv1330c,Rv0079,Rv0886,Rv1202,Rv0382c,Rv1699,Rv2373c
Rv2015c,Rv0221,Rv3065,Rv2349c,Rv1297,Rv1690,Rv2631,Rv3409c,Rv3825c,Rv2296,Rv3408
Rv2016,Rv0321,Rv1849,Rv2427c,Rv1712,Rv3505,Rv3087,Rv3214,Rv0864,Rv0732,Rv3809c
Rv2017,Rv0189c,Rv3280,Rv3244c,Rv3260c,Rv3219,Rv3356c,Rv3246c,Rv3247c,Rv3248c,Rv3396c
Rv2018,Rv0630c,Rv1030,Rv0558,Rv0549c,Rv2145c,Rv3010c,Rv1605,Rv1599,Rv1256c,Rv2841c
Rv2019,Rv0233,Rv2958c,Rv0148,Rv0182c,Rv1317c,Rv2407,Rv1746,Rv2429,Rv1344,Rv3133c
Rv2020c,Rv0838,Rv2484c,Rv0194,Rv3487c,Rv0844c,Rv3056,Rv0518,Rv2820c,Rv2136c,Rv0458
Rv2021c,Rv0987,Rv1859,Rv1872c,Rv0969,Rv0277c,Rv0620,Rv2549c,Rv3364c,Rv3307,Rv0986
Rv2022c,Rv2873,Rv1542c,Rv2074,Rv3287c,Rv1082,Rv1634,Rv1984c,Rv3111,Rv3370c,Rv0573c
Rv2023A,Rv2593c,Rv2211c,Rv2495c,Rv2464c,Rv0300,Rv2068c,Rv0813c,Rv1433,NONE,NONE
Rv2023c,Rv1857,Rv0734,Rv3405c,Rv2103c,Rv2010,Rv1207,Rv1253,Rv2234,Rv2602,Rv0409
Rv2024c,Rv3480c,Rv1267c,Rv3086,Rv0802c,Rv3309c,Rv1563c,Rv3089,Rv3826,NONE,NONE
Rv2025c,Rv0821c,Rv2267c,Rv1365c,Rv0404,Rv1468c,Rv3821,Rv1328,Rv2852c,Rv3146,Rv2962c
Rv2026c,Rv2386c,Rv2752c,Rv1106c,Rv0352,Rv2115c,Rv0903c,Rv0092,Rv2589,Rv1820,Rv1159
Rv2027c,Rv0888,Rv2430c,Rv0823c,Rv2350c,Rv3404c,Rv0751c,Rv3198c,Rv1212c,Rv2744c,Rv1185c
Rv2028c,Rv2285,Rv2389c,Rv2902c,Rv1818c,Rv2727c,Rv0985c,Rv3674c,Rv2548,Rv2149c,Rv0631c
Rv2029c,Rv1760,Rv0351,Rv3824c,Rv0598c,Rv1843c,Rv1915,Rv3469c,Rv0159c,Rv0015c,Rv0516c
Rv2030c,Rv2548,Rv2149c,Rv2727c,Rv1675c,Rv3919c,Rv2389c,Rv0230c,Rv2285,Rv1818c,Rv1160
Rv2031c,Rv1258c,Rv3853,Rv1088,Rv3878,Rv3062,Rv2848c,Rv0500,Rv0533c,Rv3157,Rv2213
Rv2032,Rv3628,Rv0414c,Rv1560,Rv1364c,Rv2005c,Rv1266c,Rv2713,Rv3043c,Rv0107c,Rv0867c
Rv2033c,Rv1872c,Rv0277c,Rv0620,Rv0987,Rv0969,Rv2549c,Rv3600c,Rv1859,Rv0986,Rv2866
Rv2034,Rv3910,Rv0712,Rv1963c,Rv0256c,Rv1492,Rv1314c,Rv3545c,Rv3534c,Rv1493,Rv0009
Rv2035,Rv1739c,Rv1253,Rv3082c,Rv3841,Rv2103c,Rv0254c,Rv2002,Rv2010,Rv2602,Rv1857
Rv2036,Rv2985,Rv2601,Rv1736c,Rv3384c,Rv1247c,Rv1346,Rv3310,Rv0595c,Rv1991c,Rv0631c
Rv2037c,Rv1909c,Rv0206c,Rv0438c,Rv3586,Rv3318,Rv2922c,Rv2112c,NONE,NONE,NONE
Rv2038c,Rv1737c,Rv2848c,Rv1596,Rv3853,Rv3855,Rv1448c,Rv0065,Rv2031c,Rv1258c,Rv1495
Rv2039c,Rv2593c,Rv2211c,Rv2068c,Rv2783c,Rv0813c,Rv1433,Rv1992c,Rv3330,Rv1079,Rv2495c
Rv2040c,Rv3765c,Rv3903c,Rv1026,Rv2793c,Rv1917c,Rv1206,Rv2266,Rv0008c,Rv1033c,Rv0654
Rv2041c,Rv1541c,Rv2043c,Rv0601c,Rv2757c,Rv3444c,Rv2007c,Rv3130c,Rv1755c,Rv1218c,Rv1264
Rv2042c,Rv3106,Rv2918c,Rv0977,Rv0386,Rv3862c,Rv1399c,Rv2820c,Rv0301,Rv1143,Rv2763c
Rv2043c,Rv1541c,Rv0601c,Rv3444c,Rv1755c,Rv3130c,Rv1848,Rv1264,Rv3155,Rv2428,Rv1218c
Rv2044c,Rv0277c,Rv2549c,Rv0986,Rv0969,Rv3600c,Rv2866,Rv1872c,Rv0620,Rv0987,Rv1553
Rv2045c,Rv2289,Rv2006,Rv2429,Rv0182c,Rv2436,Rv0889c,Rv0114,Rv0233,Rv1317c,Rv2958c
Rv2046,Rv2245,Rv3010c,Rv3701c,Rv0573c,Rv3370c,Rv3111,Rv1030,Rv1256c,Rv2284,Rv1985c
Rv2047c,Rv1272c,Rv0450c,Rv1348,Rv0202c,Rv0998,Rv0451c,Rv2048c,Rv1236,Rv2498c,Rv1238
Rv2048c,Rv0202c,Rv0450c,Rv0451c,Rv1272c,Rv1942c,Rv2498c,Rv3495c,Rv3568c,Rv1348,Rv0998
Rv2049c,Rv2359,Rv1822,Rv2613c,Rv1539,Rv1538c,Rv0465c,Rv2476c,Rv3810,Rv0983,Rv1477
Rv2050,Rv3805c,Rv2454c,Rv2455c,Rv3859c,Rv3001c,Rv2220,Rv1512,Rv3025c,Rv2540c,Rv3102c
Rv2051c,Rv0859,Rv0860,Rv2869c,Rv2171,Rv2524c,Rv1700,Rv0437c,Rv2733c,Rv1412,Rv1159
Rv2052c,Rv2258c,Rv0092,Rv1820,Rv1106c,Rv2589,Rv0352,Rv2241,Rv1640c,Rv2537c,Rv1420
Rv2053c,Rv0254c,Rv0858c,Rv3841,Rv3082c,Rv3364c,Rv2002,Rv1739c,Rv0586,Rv2602,NONE
Rv2054,Rv0847,Rv3826,Rv1886c,Rv3452,Rv0677c,Rv1368,Rv3309c,Rv3109,Rv0908,Rv0978c
Rv2055c,Rv3780,Rv3653,Rv2088,Rv1885c,Rv0654,Rv0469,Rv2976c,Rv1897c,Rv2179c,Rv2741
Rv2056c,Rv0432,Rv0981,Rv3557c,Rv1221,Rv3571,Rv1692,Rv2710,Rv3866,Rv1447c,Rv3881c
Rv2057c,Rv3565,Rv1218c,Rv1169c,Rv3130c,Rv3155,Rv1938,Rv0220,Rv1264,Rv1187,Rv1608c
Rv2058c,Rv2267c,Rv1365c,Rv0821c,Rv2852c,Rv1328,Rv0445c,Rv1468c,Rv3146,Rv2218,Rv2962c
Rv2059,Rv1746,Rv0148,Rv0233,Rv2958c,Rv2407,Rv1317c,Rv0978c,Rv1344,Rv0182c,Rv3119
Rv2060,Rv2586c,Rv0902c,Rv0013,Rv2870c,Rv0126,Rv2745c,Rv1938,Rv3518c,Rv2829c,Rv1114
Rv2061c,Rv1207,Rv3405c,Rv2234,Rv1857,Rv0734,Rv3087,Rv2010,Rv1712,Rv2103c,Rv3214
Rv2062c,Rv1675c,Rv0230c,Rv2548,Rv1160,Rv2727c,Rv1911c,Rv2579,Rv2389c,Rv1818c,Rv2719c
Rv2063,Rv3287c,Rv2074,Rv1542c,Rv3339c,Rv1082,Rv1991c,Rv2873,Rv3504,Rv1168c,Rv3674c
Rv2063A,Rv1850,Rv0132c,Rv1155,Rv3744,Rv2573,Rv3547,Rv1162,Rv1994c,Rv0583c,Rv1469
Rv2064,Rv3919c,Rv0206c,Rv2149c,Rv0600c,Rv2548,Rv0438c,Rv3586,Rv1675c,Rv1346,NONE
Rv2065,Rv3229c,Rv2866,Rv1553,Rv0969,Rv2549c,Rv0986,Rv0586,Rv0277c,Rv0987,Rv1872c
Rv2066,Rv2868c,Rv1665,Rv0022c,Rv2208,Rv3085,Rv2741,Rv3653,Rv2200c,Rv2948c,Rv3854c
Rv2067c,Rv1155,Rv1994c,Rv0938,Rv1162,Rv2063A,Rv1850,Rv3083,Rv1020,Rv0132c,Rv3879c
Rv2068c,Rv2783c,Rv2211c,Rv2593c,Rv3330,Rv1992c,Rv1079,Rv2459,Rv0813c,Rv1433,Rv3879c
Rv2069,Rv3543c,Rv0485,Rv3849,Rv3868,Rv3569c,Rv0098,Rv2583c,Rv2249c,Rv2224c,Rv3872
Rv2070c,Rv2848c,Rv3853,Rv2031c,Rv0533c,Rv1258c,Rv1737c,Rv0297,Rv1497,Rv0295c,Rv3878
Rv2071c,Rv2763c,Rv0844c,Rv0386,Rv1143,Rv2820c,Rv0838,Rv1552,Rv2914c,Rv0301,Rv0194
Rv2072c,Rv1129c,Rv3681c,Rv1130,Rv3088,Rv0570,Rv1261c,Rv3153,Rv1497,Rv1219c,Rv0297
Rv2073c,Rv3792,Rv3515c,Rv1843c,Rv1915,Rv0015c,Rv3469c,Rv1760,Rv0351,Rv2029c,Rv2402
Rv2074,Rv1542c,Rv3287c,Rv1082,Rv2873,Rv1168c,Rv2284,Rv3339c,Rv3370c,Rv1991c,Rv0573c
Rv2075c,Rv3792,Rv1843c,Rv0015c,Rv1915,Rv3515c,Rv3469c,Rv1760,Rv0351,Rv2029c,Rv3824c
Rv2076c,Rv3842c,Rv0475,Rv1955,Rv1212c,Rv0823c,Rv0668,Rv1302,Rv3404c,Rv0888,Rv2118c
Rv2077A,Rv3842c,Rv0475,Rv1955,Rv1212c,Rv0668,Rv0823c,Rv1302,Rv3404c,Rv0888,Rv2118c
Rv2077Bc,Rv2573,Rv3547,Rv0132c,Rv1850,Rv2063A,Rv1155,Rv1364c,Rv0583c,Rv2973c,Rv3744
Rv2077c,Rv2095c,Rv1989c,Rv1511,Rv2155c,Rv2465c,Rv2440c,Rv3598c,Rv1294,Rv3012c,Rv2742c
Rv2078,Rv3358,Rv0596c,Rv2865,Rv3240c,Rv0211,Rv0626,Rv0982,Rv1259,Rv2919c,Rv3835
Rv2079,Rv3862c,Rv0518,Rv3056,Rv2918c,Rv2820c,Rv0838,Rv0977,Rv3106,Rv0386,Rv2484c
Rv2080,Rv0977,Rv0286,Rv3366,Rv2299c,Rv2294,Rv3106,Rv2918c,Rv0006,Rv3862c,Rv3743c
Rv2081c,Rv3082c,Rv3841,Rv1739c,Rv0254c,Rv2002,Rv1253,Rv2602,Rv0858c,Rv0586,Rv2103c
Rv2082,Rv1297,Rv3825c,Rv1690,Rv1552,Rv2501c,Rv2349c,Rv2296,Rv3065,Rv2351c,Rv1651c
Rv2083,Rv3451,Rv2275,Rv1634,Rv3111,Rv1625c,Rv1161,Rv1984c,Rv0573c,Rv2737c,Rv2873
Rv2084,Rv0938,Rv1155,Rv3083,Rv1994c,Rv1020,Rv1162,Rv3879c,Rv0132c,Rv1850,Rv2063A
Rv2085,Rv3287c,Rv3339c,Rv3504,Rv3674c,Rv1542c,Rv2074,Rv1991c,Rv0595c,Rv0631c,Rv0985c
Rv2086,Rv3743c,Rv1985c,Rv1246c,Rv3862c,Rv3701c,Rv0977,Rv0286,Rv3740c,Rv1161,Rv2245
Rv2087,Rv3056,Rv0518,Rv2484c,Rv3862c,Rv1246c,Rv3080c,Rv0838,Rv3740c,Rv2820c,Rv2918c
Rv2088,Rv2976c,Rv0469,Rv0234c,Rv3567c,Rv3286c,Rv3328c,Rv3812,Rv3655c,Rv1885c,Rv1897c
Rv2089c,Rv0182c,Rv2429,Rv3133c,Rv0233,Rv2958c,Rv3089,Rv2006,Rv1317c,Rv2407,Rv0148
Rv2090,Rv2873,Rv1634,Rv3111,Rv0573c,Rv3370c,Rv1984c,Rv3451,Rv1542c,Rv1082,Rv2074
Rv2091c,Rv3723,Rv3876,Rv0099,Rv3872,Rv0101,Rv1086,Rv0655,Rv1411c,Rv2224c,Rv1798
Rv2092c,Rv1205,Rv3419c,Rv1386,Rv1222,Rv1239c,Rv0413,Rv1468c,Rv0931c,Rv0932c,Rv2187
Rv2093c,Rv3778c,Rv0291,Rv3455c,Rv3014c,Rv1708,Rv2753c,Rv1594,Rv1483,Rv2194,Rv2438c
Rv2094c,Rv1304,Rv3712,Rv2682c,Rv2538c,Rv3582c,Rv3156,Rv0357c,Rv3609c,Rv2157c,Rv2188c
Rv2095c,Rv1989c,Rv1511,Rv2440c,Rv2465c,Rv3598c,Rv2155c,Rv3012c,Rv2742c,Rv2121c,Rv3425
Rv2096c,Rv2496c,Rv3025c,Rv0467,Rv2131c,Rv2540c,Rv1908c,Rv2391,Rv2152c,Rv2454c,Rv2455c
Rv2097c,Rv1638,Rv2151c,Rv0490,Rv2977c,Rv2524c,Rv1280c,Rv1700,Rv3722c,Rv3908,Rv1496
Rv2098c,Rv1077,Rv2801A,Rv3379c,Rv2482c,Rv1288,Rv0032,Rv0853c,Rv2388c,Rv1650,Rv0334
Rv2099c,Rv3879c,Rv1020,Rv0938,Rv1013,Rv1994c,Rv3083,Rv1162,Rv1155,Rv2783c,Rv2068c
Rv2100,Rv2976c,Rv2088,Rv3328c,Rv3567c,Rv3812,Rv1885c,Rv0234c,Rv0469,Rv2822c,Rv3655c
Rv2101,Rv1425,Rv1219c,Rv0570,Rv0187,Rv3203,Rv2821c,Rv1129c,Rv2688c,Rv1076,Rv3470c
Rv2102,Rv3309c,Rv0620,Rv0895,Rv1368,Rv1859,Rv3480c,Rv1872c,Rv1341,Rv3826,Rv3315c
Rv2103c,Rv1253,Rv1857,Rv2010,Rv3405c,Rv0734,Rv2234,Rv1739c,Rv2602,Rv2002,Rv1207
Rv2104c,Rv2051c,Rv2869c,Rv0860,Rv0859,Rv2524c,Rv1700,Rv2171,Rv0437c,Rv1159,Rv1080c
Rv2105,Rv0554,Rv2461c,Rv3261,Rv1286,Rv2335,Rv3262,Rv2334,Rv1170,Rv3696c,Rv0899
Rv2106,Rv2461c,Rv3261,Rv1286,Rv2335,Rv3262,Rv2334,Rv1170,Rv3696c,Rv0554,Rv0899
Rv2107,Rv3655c,Rv2964,Rv3812,Rv3316,Rv3702c,Rv3567c,Rv2818c,Rv0754,Rv0694,Rv2817c
Rv2108,Rv0458,Rv2136c,Rv0194,Rv3487c,Rv3566c,Rv0468,Rv1601,Rv0838,Rv2431c,Rv3065
Rv2109c,Rv1208,Rv3031,Rv1464,Rv0803,Rv2906c,Rv2987c,Rv3601c,Rv0002,Rv3596c,Rv1658
Rv2110c,Rv0462,Rv3764c,Rv2392,Rv1248c,Rv1956,Rv3588c,Rv2445c,Rv0489,Rv1340,Rv2165c
Rv2111c,Rv3464,Rv0846c,Rv0510,Rv1240,Rv3846,Rv2523c,Rv2124c,Rv2711,Rv3303c,Rv2697c
Rv2112c,Rv2922c,Rv0438c,Rv3318,Rv2579,Rv1675c,Rv1160,Rv0230c,Rv1909c,NONE,NONE
Rv2113,Rv3384c,Rv1736c,Rv1247c,Rv2601,Rv2985,Rv1168c,Rv3310,Rv1346,Rv0595c,Rv1991c
Rv2114,Rv2285,Rv2902c,Rv0631c,Rv3674c,Rv2389c,Rv2149c,Rv0595c,Rv0985c,Rv1991c,Rv1818c
Rv2115c,Rv1159,Rv2752c,Rv0437c,Rv0352,Rv1106c,Rv0903c,Rv1638,Rv2386c,Rv1080c,Rv2097c
Rv2116,Rv1633,Rv2215,Rv0407,Rv3084,Rv1285,Rv1184c,Rv3583c,Rv2181,Rv0129c,Rv2175c
Rv2117,Rv1346,Rv3310,Rv0631c,Rv2601,Rv0595c,Rv2149c,Rv1991c,Rv3919c,Rv2285,Rv1736c
Rv2118c,Rv1302,Rv0203,Rv0045c,Rv2232,Rv0137c,Rv0668,Rv0823c,Rv0475,Rv2350c,Rv3357
Rv2119,Rv2607,Rv1182,Rv3607c,Rv3059,Rv2373c,Rv1599,Rv2404c,Rv0285,Rv2238c,Rv0453
Rv2120c,Rv3384c,Rv1475c,Rv2985,Rv2841c,Rv0549c,Rv3791,Rv1736c,Rv1247c,Rv1699,Rv1474c
Rv2121c,Rv1484,Rv0417,Rv2742c,Rv2440c,Rv1311,Rv1392,Rv1306,Rv3012c,Rv0444c,Rv1997
Rv2122c,Rv2178c,Rv3713,Rv0284,Rv3028c,Rv0639,Rv0682,Rv3915,Rv0046c,Rv1110,Rv2139
Rv2123,Rv3919c,Rv2548,Rv2149c,Rv1675c,Rv0230c,Rv0206c,Rv1160,Rv2727c,Rv2579,NONE
Rv2124c,Rv0510,Rv2523c,Rv0846c,Rv3464,Rv2111c,Rv2711,Rv1240,Rv3846,Rv2611c,Rv2697c
Rv2125,Rv3416,Rv2740,Rv3763,Rv2234,Rv2010,Rv3405c,Rv0693,Rv1857,Rv2103c,Rv3313c
Rv2126c,Rv2793c,Rv1206,Rv2584c,Rv2266,Rv3903c,Rv3765c,Rv1026,Rv0654,Rv3780,Rv1033c
Rv2127,Rv2241,Rv1485,Rv2537c,Rv0491,Rv2746c,Rv2258c,Rv1640c,Rv2421c,Rv3420c,Rv1820
Rv2128,Rv2548,Rv3919c,Rv2149c,Rv1675c,Rv0230c,Rv2727c,Rv1160,Rv2579,Rv1911c,NONE
Rv2129c,Rv3117,Rv2881c,Rv0483,Rv1334,Rv3803c,Rv2948c,Rv1992c,Rv1089,Rv3199c,Rv3654c
Rv2130c,Rv0287,Rv2697c,Rv0524,Rv0510,Rv3709c,Rv2883c,Rv1390,Rv2111c,Rv2124c,Rv3464
Rv2131c,Rv1908c,Rv2391,Rv3025c,Rv1340,Rv2096c,Rv2454c,Rv2540c,Rv2246,Rv2050,Rv2455c
Rv2132,Rv3734c,Rv1173,Rv3506,Rv1731,Rv1448c,Rv2952,Rv3855,Rv1029,Rv1777,Rv0295c
Rv2133c,Rv0609,Rv2459,Rv3330,Rv1079,Rv0553,Rv2783c,Rv2068c,Rv1992c,Rv3083,Rv3879c
Rv2134c,Rv0297,Rv1497,Rv0295c,Rv0533c,Rv3088,Rv1029,Rv3153,Rv2952,Rv1129c,Rv3681c
Rv2135c,Rv1991A,Rv3490,Rv0489,Rv2883c,Rv0524,Rv2611c,Rv2364c,Rv2592c,Rv2764c,Rv2697c
