Rv_ID,CES_calls
Rv3137,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3206c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv
Rv3222c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3227,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3244c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3246c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv3247c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3248c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3255c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3257c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3260c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3264c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv
Rv3265c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv
Rv3266c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3277,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv
Rv3279c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3280,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3281,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3285,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3302c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv3336c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3341,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv; minato_minimal_plate_vs_minato_rich_plate; zhang_wt_mouse_d10_vs_zhang_input_library
Rv3356c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3372,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3396c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
