Rv_ID,gene_name,2003A_Sassetti_q_val,2003A_Sassetti_log2FC,2003B_Sassetti_q_val,2003B_Sassetti_log2FC,2005_Rengarajan_q_val,2005_Rengarajan_log2FC,2006_Joshi_GI_1_q_val,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_q_val,2006_Joshi_GI_2_log2FC,2011_Griffin_2_q_val,2011_Griffin_2_log2FC,2013_Zhang_1_q_val,2013_Zhang_1_log2FC,2013_Zhang_2_q_val,2013_Zhang_2_log2FC,2013_Zhang_3A_q_val,2013_Zhang_3A_log2FC,2013_Zhang_3B_q_val,2013_Zhang_3B_log2FC,2013_Zhang_3C_q_val,2013_Zhang_3C_log2FC,2013_Zhang_3D_q_val,2013_Zhang_3D_log2FC,2016_Korte_q_val,2016_Korte_log2FC,2017_Mishra_1A_q_val,2017_Mishra_1A_log2FC,2017_Mishra_1B_q_val,2017_Mishra_1B_log2FC,2017_Mishra_1C_q_val,2017_Mishra_1C_log2FC,2017_Mishra_1D_q_val,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_q_val,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_q_val,2018_Rittershaus_1B_log2FC,2012_Zhang_q_val,2012_Zhang_log2FC,2015_Kieser_GI_1_q_val,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_q_val,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_q_val,2015_Kieser_GI_3_log2FC,2015_Mendum_q_val,2015_Mendum_log2FC,2016_Nambi_q_val,2016_Nambi_log2FC,2017_Xu_1A_q_val,2017_Xu_1A_log2FC,2017_Xu_1B_q_val,2017_Xu_1B_log2FC,2017_Xu_1C_q_val,2017_Xu_1C_log2FC,2017_Xu_1D_q_val,2017_Xu_1D_log2FC,2017_Xu_1E_q_val,2017_Xu_1E_log2FC,2018_Carey_1A_q_val,2018_Carey_1A_log2FC,2018_Carey_1B_q_val,2018_Carey_1B_log2FC,2018_Carey_1C_q_val,2018_Carey_1C_log2FC,2018_Carey_1D_q_val,2018_Carey_1D_log2FC,2018_Carey_1E_q_val,2018_Carey_1E_log2FC,2018_Carey_1F_q_val,2018_Carey_1F_log2FC,2018_Carey_1G_q_val,2018_Carey_1G_log2FC,2018_Carey_1H_q_val,2018_Carey_1H_log2FC,2017B_DeJesus_1A_q_val,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_q_val,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_q_val,2017B_DeJesus_1C_log2FC,marP_q_val,marP_log2FC,Rv0950_q_val,Rv0950_log2FC,Rv3916c_q_val,Rv3916c_log2FC,Rv0307c_q_val,Rv0307c_log2FC,Rv3717_q_val,Rv3717_log2FC,ponA1_q_val,ponA1_log2FC,Rv1565c_q_val,Rv1565c_log2FC,Rv3684_q_val,Rv3684_log2FC,Rv0954_q_val,Rv0954_log2FC,Rv3811_q_val,Rv3811_log2FC,Rv1096_q_val,Rv1096_log2FC,Rv2680_q_val,Rv2680_log2FC,Rv1432_q_val,Rv1432_log2FC,Rv3594_q_val,Rv3594_log2FC,Rv3005c_q_val,Rv3005c_log2FC
Rv0011c,-,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.605,-1.524992903614349,0.399999999999999,2.584962500721156,0.934,-0.5956401462365568,0.6551850130389677,-1.0,1.0,0.0,0.776013,-2.928916901938517,1.0,-1.0,0.842683,-2.781359713524659,1.0,-1.15200309344505,1.0,-2.222392421336448,1.0,3.64,1.0,-0.79,1.0,3.45,1.0,3.02,1.0,-0.79,1.0,3.49,1.0,-0.23,1.0,-0.79,0.0921413,-0.61,0.08113609,-1.01,0.08383465,-0.73,0.35305,-2.74,1.0,-1.6,1.0,0.0,1.0,0.0,1.0,-0.88,0.96755,4.26,1.0,0.0,1.0,-0.8,0.48553,-6.75,1.0,-1.0,1.0,-1.98,1.0,0.0,1.0,0.0,1.0,0.37,1.0,0.49
Rv0012,-,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.004086613,4.217142360078474,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05,1.70518215655198,1.0,0.0,1.0,0.0,1.0,0.0,0.9271,-1.0,0.574884757218935,-0.6197022489133464,0.7121202122946,0.6727241812375141,0.396979620413926,-0.6217393308715498,0.008234921122489264,-1.0,0.1953189381,1.48067830669498,0.010116,-1.576420678737479,1.0,-0.6937047550156777,0.238069,-1.078427014897919,0.033479,-1.582442815803008,0.211085,-1.027423748567033,1.0,0.86,1.0,0.22,0.689,-0.63,1.0,0.93,1.0,0.39,1.0,0.73,1.0,0.03,1.0,1.0,0.12998474,-0.83,0.13657149,1.02,0.05375462,-2.13,1e-05,4.47,1.0,0.29,1.0,0.05,1e-05,-2.91,0.9533,-1.22,1.0,-0.05,0.0293,2.55,1.0,0.04,1.0,-1.12,1.0,0.18,1.0,-1.12,1.0,-0.2,0.7672100000000001,-0.73,1.0,-0.06,1.0,0.0
Rv0013,trpG,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0066,-1.0,0.0796016705856282,7.108524456778169,0.701428098980721,2.578093843741666,0.813867322874145,-5.294069662709253,0.8256697368210139,-1.0,0.4389651799,-2.21545514733429,1.0,0.2387868595871165,6.0,0.8685338375576448,1.0,-0.8494403234246188,1.0,0.8935779408638458,1.0,0.1721809753826803,1.0,1.4,1.0,-1.67,1.0,1.21,1.0,-1.66,1.0,-0.5,1.0,-1.66,1.0,3.36,1.0,-1.67,0.03346794,-3.32,0.01564489,-4.1,0.01525875,-4.12,0.56355,1.73,1.0,-0.99,0.70426,1.32,0.66055,-6.39,1.0,-1.16,1.0,-3.0,0.75454,-5.32,1.0,-0.7,1.0,0.93,1.0,-0.78,1.0,-0.72,0.79435,-3.5,0.39939,-10.84,1.0,1.27,0.69871,-5.76
Rv0014c,pknB,0.005660464,-4.469875227659371,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0714,-1.0,0.807989463123195,-0.3948184331272289,0.337894700424811,0.0,0.89406315206797,-3.246427701164162,1.0,0.0,1.0,1.09953030594159,1.0,0.0,1.0,0.0,1.0,-0.3219280948873623,1.0,-0.15200309344505,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10848757,-0.59,0.10371739,-0.99,0.10163993,-0.72,1.0,-0.89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.21,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.06,1.0,0.0
Rv0015c,pknA,0.00062543154,-4.163953493413429,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0325,-1.0,0.644890761772133,-3.971341827709863,0.267524297897676,-6.074209154152944,0.895760227801774,-3.110544273082393,1.0,0.0,1.0,1.7162000327659,1.0,-0.9151971589640144,1.0,-2.238610931894576,1.0,-0.1666978225776227,1.0,-0.7761361914468838,1.0,-1.397963985919902,1.0,0.26,1.0,0.27,1.0,2.05,1.0,1.07,1.0,0.99,1.0,-0.29,1.0,-0.12,1.0,1.71,0.11592006,-0.65,0.09792451,-0.99,0.09621023,-0.72,0.8757799999999999,1.23,1.0,0.07,1.0,0.23,0.66055,7.49,1.0,-2.64,1.0,-3.51,1.0,-2.68,1.0,-0.08,1.0,1.96,1.0,-1.4,1.0,0.47,1.0,0.0,0.7934899999999999,1.92,1.0,-2.48,1.0,0.0
Rv0016c,pbpA,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,2.47e-11,7.285402218862249,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.596,-1.0,0.760274245901279,0.4475988189401281,0.936921137766693,0.002329198982850204,0.708869757601112,-0.5466927202890347,0.003158748318937115,-1.0,0.4923549161,-0.712608277800567,0.020987,-0.9784846793452003,0.080321,-0.8300403046276201,1.0,-0.3989957090809845,1e-05,-4.123876427120828,7.8e-05,-1.950948861694856,0.6192,2.01,1.0,-0.21,0.9111,1.59,0.9905,2.34,1.0,0.71,0.922,1.79,1e-05,-1.51,1.0,0.55,0.13069724,0.87,0.11409043,-0.57,0.12268444,-0.89,1e-05,-5.25,1.0,-0.96,0.798,1.66,0.00389,-3.98,1.0,-0.16,1.0,-0.16,1.0,0.0,1.0,0.28,1e-05,-4.57,1.0,0.48,1.0,-0.84,0.64966,0.93,1e-05,3.95,1.0,0.41,0.45307,-5.22
Rv0017c,rodA,1.0,0.0,1.0,0.0,0.05,-1,1.0,0,1.0,0,1.0,0.0,2.94e-10,5.100136671285449,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8326,-1.0,0.453960679136116,1.514407925703058,0.945387549752509,1.423577755079121,0.385021789818443,-2.452390312920507,0.006874170539412347,-1.0,0.4549827542,-0.552812901405973,0.000354,-2.096165244225045,1.0,-0.9787661655607809,1.0,-0.3333801679952991,1e-05,-3.56733659546241,0.070388,-2.179765440597379,1.0,1.2,1.0,-0.24,0.7722,1.89,1.0,1.65,1.0,0.59,1.0,1.35,0.4262,-0.75,1.0,0.11,0.00900464,3.31,0.12125403,0.91,0.00984584,2.8,1e-05,-4.73,1.0,-0.65,0.80653,-0.57,1e-05,-4.26,1.0,0.31,1.0,-0.33,0.04508,-5.46,1.0,0.17,1e-05,-3.85,1.0,0.75,1.0,-0.38,0.01923,2.59,0.13337,2.47,1.0,0.51,0.13164,-3.72
Rv0018c,ppp,1.0,0.0,1.0,0.0,0.05,-1,1.0,0,1.0,0,1.0,0.0,7.68e-07,7.483815777264256,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.363,-1.0,0.80219386562449,1.37619473681329,0.321143839128511,-0.5633182643799655,0.275712280917932,1.733899421899327,0.1111663902341302,-1.0,0.1986961938,1.35731634742865,1.0,0.26253459808901,1.0,0.3304007272361303,1.0,0.7297229040333177,1.0,-1.004341148623621,1.0,0.7747041865770022,1.0,0.02,1.0,0.99,0.6913,-0.74,1.0,0.73,1.0,0.15,1.0,0.36,1.0,0.08,1.0,1.17,0.12000206,1.21,0.11666495,0.0,0.07622825,1.73,0.0265,-2.02,1.0,-0.92,0.01417,2.66,0.6895100000000001,0.89,0.06384,2.13,1.0,0.41,0.66156,1.67,1.0,-0.51,0.0347,-3.07,1.0,0.92,1.0,-0.61,0.7218100000000001,4.02,0.16843,5.37,1.0,0.03,1.0,-1.18
Rv0019c,-,1.0,0.0,1.0,0.0,0.05,-1,1.0,0,1.0,0,1.0,0.0,0.005346102,3.854219185730439,0.036291718,-5.552601366645897,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0640850600441758,2.077489899171606,0.269307131093487,-1.023022962664529,0.73188949201048,3.176264407435201,0.05770595900748791,-1.0,0.4822438178,-0.790631351127085,0.101256,1.183092631867225,0.978326,0.7502609404002896,0.86167,0.7107666647476639,0.000911,-1.684119788346881,1.0,-0.09465255893040521,1.0,0.79,1.0,1.35,0.1301,-1.4,1.0,-0.16,1.0,0.25,1.0,0.96,1.0,-0.39,1.0,-0.08,0.14418983,0.42,0.1142916,-0.69,0.12294495,0.8,1e-05,-4.9,1.0,-1.24,0.00338,-4.72,0.17366,-1.44,0.02591,3.04,0.12099,-3.32,1.0,-3.17,1.0,0.15,0.04604,-2.55,0.44688,1.78,1.0,0.03,1.0,-0.46,0.5969399999999999,2.08,1.0,1.08,1.0,-6.5
Rv0020c,TB39.8,1.0,0.0,1.0,0.0,0.05,-1,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2565,-1.0,0.463398616866032,1.076949640934824,0.775033183059178,0.3691971686569621,0.64823424797615,0.5863596364343009,0.007086556319293693,-1.0,0.4780202643,-0.443534677911193,1.0,-0.809524514175851,1.0,-0.8222537984369425,1.0,0.5955752126001266,0.003208,-2.55382219938877,1.0,-0.2457897551956572,1.0,1.82,1.0,0.95,1.0,0.56,1.0,1.02,1.0,0.59,1.0,1.11,1.0,0.19,1.0,0.27,0.07087945,-1.77,0.03394344,-2.84,0.05705583,-1.8,1e-05,-3.28,1.0,-0.31,0.70426,0.77,0.63265,1.3,1.0,0.73,1.0,-0.44,0.16605,-7.74,1.0,0.67,0.259,-2.69,1.0,0.45,1.0,-0.08,1.0,0.41,1.0,0.03,1.0,0.57,0.30466,-4.5
